stat, rank, value, (percentage) 
minecraft.mined.yellow_shulker_box: #13, 144(2%)
minecraft.used.yellow_shulker_box: #13, 144(2%)
minecraft.picked_up.stick: #13, 712(1%)
minecraft.picked_up.yellow_shulker_box: #13, 144(2%)
minecraft.picked_up.stone_pickaxe: #13, 2(2%)
minecraft.used.player_head: #13, 97(1%)
minecraft.dropped.oak_log: #13, 57(2%)
minecraft.picked_up.birch_door: #13, 3(2%)
minecraft.used.diamond_ore: #13, 117(1%)
minecraft.picked_up.item_frame: #13, 76(1%)
minecraft.dropped.oak_door: #13, 2(2%)
minecraft.dropped.minecart: #13, 6(1%)
minecraft.mined.green_shulker_box: #13, 30(1%)
minecraft.used.green_shulker_box: #13, 31(1%)
minecraft.crafted.book: #13, 82(1%)
minecraft.picked_up.shield: #13, 4(1%)
minecraft.killed_by.drowned: #13, 1(1%)
minecraft.mined.oak_fence_gate: #13, 8(1%)
minecraft.mined.red_mushroom: #13, 9(1%)
minecraft.picked_up.sea_lantern: #13, 292(1%)
minecraft.mined.diamond_block: #13, 29(1%)
minecraft.dropped.leather_chestplate: #13, 2(1%)
minecraft.dropped.red_mushroom: #13, 5(1%)
minecraft.picked_up.yellow_wool: #13, 66(1%)
minecraft.picked_up.white_tulip: #13, 13(1%)
minecraft.picked_up.blaze_rod: #13, 69(1%)
minecraft.dropped.chainmail_leggings: #13, 1(1%)
minecraft.dropped.iron_nugget: #13, 8(0%)
minecraft.used.pink_shulker_box: #13, 16(1%)
minecraft.picked_up.orange_shulker_box: #13, 31(1%)
minecraft.crafted.compass: #13, 10(0%)
minecraft.used.orange_shulker_box: #13, 30(0%)
minecraft.mined.chiseled_stone_bricks: #13, 8(1%)
minecraft.mined.purple_stained_glass: #13, 3(1%)
minecraft.picked_up.bread: #13, 8(0%)
minecraft.mined.orange_shulker_box: #13, 30(1%)
minecraft.mined.pink_shulker_box: #13, 15(1%)
minecraft.crafted.stone_button: #13, 198(0%)
minecraft.mined.magenta_stained_glass: #13, 3(0%)
minecraft.dropped.redstone_ore: #13, 7(0%)
minecraft.crafted.wooden_sword: #13, 1(0%)
minecraft.used.wooden_axe: #13, 3(0%)
minecraft.picked_up.acacia_planks: #13, 3(0%)
minecraft.picked_up.magenta_stained_glass: #13, 3(0%)
minecraft.dropped.dark_oak_slab: #13, 3(0%)
minecraft.mined.lime_stained_glass: #13, 3(0%)
minecraft.dropped.pumpkin: #13, 8(0%)
minecraft.used.orange_stained_glass: #13, 3(0%)
minecraft.mined.lily_pad: #13, 1(0%)
minecraft.dropped.quartz: #13, 4(0%)
minecraft.mined.jungle_trapdoor: #13, 1(0%)
minecraft.picked_up.jungle_trapdoor: #13, 1(0%)
minecraft.used.orange_terracotta: #13, 9(0%)
minecraft.mined.stripped_jungle_log: #13, 1(0%)
minecraft.crafted.green_terracotta: #13, 8(0%)
minecraft.picked_up.mycelium: #13, 2(0%)
minecraft.mined.mycelium: #13, 2(0%)
minecraft.used.cyan_stained_glass: #13, 3(0%)
minecraft.custom.interact_with_furnace: #14, 1846(2%)
minecraft.used.chest: #14, 715(2%)
minecraft.picked_up.ender_chest: #14, 285(2%)
minecraft.picked_up.redstone: #14, 8574(2%)
minecraft.mined.sea_lantern: #14, 187(2%)
minecraft.crafted.glass: #14, 2312(2%)
minecraft.mined.diamond_ore: #14, 387(1%)
minecraft.used.stone_pickaxe: #14, 253(1%)
minecraft.dropped.leather_boots: #14, 7(2%)
minecraft.used.beacon: #14, 12(1%)
minecraft.dropped.coal: #14, 122(1%)
minecraft.mined.beacon: #14, 8(1%)
minecraft.picked_up.stone_hoe: #14, 1(2%)
minecraft.mined.cocoa: #14, 74(1%)
minecraft.crafted.cobblestone_stairs: #14, 320(1%)
minecraft.mined.rail: #14, 465(1%)
minecraft.picked_up.cobblestone_slab: #14, 134(1%)
minecraft.used.golden_apple: #14, 3(1%)
minecraft.picked_up.red_carpet: #14, 44(1%)
minecraft.picked_up.green_shulker_box: #14, 30(1%)
minecraft.crafted.cobblestone_slab: #14, 384(1%)
minecraft.dropped.birch_boat: #14, 1(1%)
minecraft.mined.glowstone: #14, 205(1%)
minecraft.picked_up.red_wool: #14, 70(1%)
minecraft.killed.husk: #14, 10(1%)
minecraft.picked_up.stone_shovel: #14, 1(1%)
