stat, rank, value, (percentage) 
minecraft.used.carrot_on_a_stick: #11, 3(0%)
minecraft.dropped.crossbow: #11, 1(0%)
minecraft.crafted.diamond_boots: #12, 5(3%)
minecraft.mined.cobblestone_wall: #12, 103(3%)
minecraft.mined.grass_path: #12, 231(3%)
minecraft.picked_up.oak_slab: #12, 264(3%)
minecraft.picked_up.oak_trapdoor: #12, 97(3%)
minecraft.crafted.spruce_slab: #12, 1454(2%)
minecraft.custom.pot_flower: #12, 36(3%)
minecraft.used.cobblestone_wall: #12, 411(3%)
minecraft.used.oak_slab: #12, 537(2%)
minecraft.crafted.quartz_slab: #12, 1184(2%)
minecraft.used.cobblestone_stairs: #12, 260(2%)
minecraft.mined.sticky_piston: #12, 106(2%)
minecraft.used.flower_pot: #12, 37(2%)
minecraft.picked_up.piston: #12, 97(2%)
minecraft.used.jungle_boat: #12, 4(1%)
minecraft.used.cooked_beef: #12, 243(1%)
minecraft.used.stone_slab: #12, 438(1%)
minecraft.picked_up.birch_pressure_plate: #12, 3(1%)
minecraft.custom.trigger_trapped_chest: #12, 30(1%)
minecraft.mined.composter: #12, 5(1%)
minecraft.dropped.lapis_lazuli: #12, 36(1%)
minecraft.crafted.light_gray_carpet: #12, 162(1%)
minecraft.picked_up.gray_carpet: #12, 92(1%)
minecraft.used.composter: #12, 10(1%)
minecraft.custom.damage_blocked_by_shield: #12, 1160(1%)
minecraft.picked_up.composter: #12, 5(1%)
minecraft.picked_up.yellow_wool: #12, 69(1%)
minecraft.used.sea_pickle: #12, 102(1%)
minecraft.used.cyan_wool: #12, 16(1%)
minecraft.picked_up.coarse_dirt: #12, 136(1%)
minecraft.picked_up.iron_trapdoor: #12, 62(1%)
minecraft.crafted.birch_sign: #12, 18(1%)
minecraft.crafted.iron_trapdoor: #12, 104(1%)
minecraft.picked_up.sea_pickle: #12, 88(1%)
minecraft.used.iron_trapdoor: #12, 116(1%)
minecraft.dropped.oak_slab: #12, 9(1%)
minecraft.mined.coarse_dirt: #12, 92(1%)
minecraft.crafted.end_rod: #12, 120(1%)
minecraft.picked_up.brown_carpet: #12, 11(1%)
minecraft.used.pufferfish_bucket: #12, 3(1%)
minecraft.used.cornflower: #12, 2(1%)
minecraft.crafted.white_wool: #12, 83(0%)
minecraft.dropped.totem_of_undying: #12, 1(1%)
minecraft.crafted.composter: #12, 6(0%)
minecraft.used.cod_bucket: #12, 2(1%)
minecraft.used.brain_coral_fan: #12, 5(1%)
minecraft.used.fire_coral_fan: #12, 5(1%)
minecraft.used.acacia_planks: #12, 6(0%)
minecraft.used.cyan_concrete_powder: #12, 20(0%)
minecraft.crafted.firework_rocket: #12, 2346(0%)
minecraft.crafted.oak_wood: #12, 21(0%)
minecraft.dropped.glowstone_dust: #12, 3(0%)
minecraft.crafted.dark_oak_button: #12, 4(0%)
minecraft.used.dark_oak_button: #12, 3(0%)
minecraft.picked_up.dark_oak_button: #12, 1(0%)
minecraft.used.sweet_berries: #12, 20(0%)
minecraft.picked_up.birch_stairs: #12, 15(0%)
minecraft.picked_up.podzol: #12, 25(0%)
minecraft.mined.sweet_berry_bush: #12, 7(0%)
minecraft.dropped.comparator: #12, 2(0%)
minecraft.mined.gray_bed: #12, 1(0%)
minecraft.used.andesite_wall: #12, 8(0%)
minecraft.dropped.white_dye: #12, 5(0%)
minecraft.dropped.white_stained_glass: #12, 2(0%)
minecraft.picked_up.andesite_slab: #12, 1(0%)
minecraft.mined.green_concrete_powder: #12, 2(0%)
minecraft.dropped.bone_block: #12, 4(0%)
minecraft.used.brown_mushroom_block: #12, 2(0%)
minecraft.killed_by.creeper: #13, 4(3%)
minecraft.mined.cobblestone_stairs: #13, 87(3%)
minecraft.dropped.diamond_pickaxe: #13, 11(3%)
minecraft.used.bone_meal: #13, 2383(2%)
minecraft.picked_up.iron_hoe: #13, 1(4%)
minecraft.mined.oak_stairs: #13, 81(2%)
minecraft.crafted.spruce_door: #13, 27(2%)
minecraft.picked_up.iron_block: #13, 962(2%)
minecraft.dropped.wheat: #13, 37(2%)
minecraft.picked_up.sticky_piston: #13, 106(1%)
minecraft.dropped.oak_boat: #13, 5(1%)
