stat, rank, value, (percentage) 
minecraft.mined.yellow_wall_banner: #4, 4(8%)
minecraft.crafted.prismarine_stairs: #4, 120(9%)
minecraft.mined.rose_bush: #4, 1(17%)
minecraft.crafted.sugar: #4, 241(4%)
minecraft.dropped.dark_prismarine: #4, 28(8%)
minecraft.used.brown_mushroom_block: #4, 361(5%)
minecraft.dropped.yellow_terracotta: #4, 219(6%)
minecraft.used.writable_book: #5, 239(6%)
minecraft.used.bucket: #5, 4765(6%)
minecraft.used.wooden_shovel: #4, 59(6%)
minecraft.picked_up.chainmail_chestplate: #5, 9(9%)
minecraft.picked_up.orange_bed: #4, 5(7%)
minecraft.mined.spruce_stairs: #5, 519(6%)
minecraft.picked_up.skeleton_skull: #4, 1(14%)
minecraft.crafted.wooden_shovel: #4, 21(3%)
minecraft.picked_up.redstone_torch: #5, 763(7%)
minecraft.picked_up.bricks: #5, 691(10%)
minecraft.picked_up.brick: #4, 691(4%)
minecraft.used.coal_ore: #5, 1920(7%)
minecraft.crafted.sandstone: #5, 1521(8%)
minecraft.picked_up.dried_kelp_block: #4, 1632(3%)
minecraft.picked_up.oak_boat: #5, 164(6%)
minecraft.used.brick_slab: #4, 346(4%)
minecraft.dropped.kelp: #5, 6169(6%)
minecraft.picked_up.brown_bed: #4, 10(6%)
minecraft.picked_up.iron_horse_armor: #4, 1(5%)
minecraft.mined.orange_bed: #4, 5(7%)
minecraft.picked_up.fire_charge: #4, 63(9%)
minecraft.picked_up.red_shulker_box: #5, 590(6%)
minecraft.used.black_shulker_box: #5, 278(9%)
minecraft.picked_up.red_concrete: #5, 1530(8%)
minecraft.dropped.cobblestone: #5, 21577(5%)
minecraft.picked_up.armor_stand: #5, 94(6%)
minecraft.crafted.light_gray_concrete_powder: #5, 7000(7%)
minecraft.killed.sheep: #5, 116(6%)
minecraft.picked_up.dead_bubble_coral_block: #4, 35(5%)
minecraft.mined.red_shulker_box: #5, 580(6%)
minecraft.used.cod: #5, 59(10%)
minecraft.killed.wither_skeleton: #4, 628(2%)
minecraft.picked_up.dead_bubble_coral_fan: #4, 32(7%)
minecraft.used.red_shulker_box: #5, 582(6%)
minecraft.picked_up.melon_slice: #4, 1306(2%)
minecraft.picked_up.black_shulker_box: #5, 264(8%)
