stat, rank, value, (percentage) 
minecraft.crafted.rail: #12, 1168(3%)
minecraft.crafted.shears: #12, 74(2%)
minecraft.mined.smooth_stone_slab: #12, 1176(2%)
minecraft.used.andesite: #12, 929(2%)
minecraft.used.iron_door: #12, 28(2%)
minecraft.mined.repeater: #12, 125(2%)
minecraft.mined.chest: #12, 344(2%)
minecraft.used.piston: #12, 214(2%)
minecraft.mined.player_head: #12, 41(2%)
minecraft.picked_up.end_rod: #12, 262(2%)
minecraft.picked_up.polished_andesite: #12, 517(2%)
minecraft.mined.dispenser: #12, 32(2%)
minecraft.used.sea_lantern: #12, 1042(1%)
minecraft.crafted.lectern: #12, 11(2%)
minecraft.killed.bat: #12, 12(1%)
minecraft.dropped.oak_button: #12, 4(2%)
minecraft.crafted.repeater: #12, 215(1%)
minecraft.picked_up.glass_pane: #12, 55(1%)
minecraft.picked_up.cauldron: #12, 9(2%)
minecraft.crafted.bread: #12, 74(1%)
minecraft.mined.oak_fence_gate: #12, 9(1%)
minecraft.used.stripped_spruce_log: #12, 10(1%)
minecraft.custom.traded_with_villager: #12, 2024(1%)
minecraft.dropped.iron_ore: #12, 160(1%)
minecraft.crafted.dropper: #12, 72(1%)
minecraft.picked_up.spruce_pressure_plate: #12, 4(1%)
minecraft.crafted.emerald: #12, 2147(1%)
minecraft.used.end_stone: #12, 79(1%)
minecraft.used.heavy_weighted_pressure_plate: #12, 5(1%)
minecraft.used.hay_block: #12, 17(1%)
minecraft.dropped.obsidian: #12, 11(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #12, 2(1%)
minecraft.picked_up.cake: #12, 1(1%)
minecraft.crafted.dark_oak_fence_gate: #12, 10(0%)
minecraft.picked_up.lime_carpet: #12, 5(1%)
minecraft.picked_up.dark_oak_pressure_plate: #12, 1(1%)
minecraft.mined.heavy_weighted_pressure_plate: #12, 1(1%)
minecraft.picked_up.black_banner: #12, 1(1%)
minecraft.mined.light_blue_concrete_powder: #12, 4(0%)
minecraft.used.blast_furnace: #12, 2(0%)
minecraft.picked_up.pumpkin_pie: #12, 4(0%)
minecraft.crafted.emerald_block: #12, 50(0%)
minecraft.picked_up.pink_wool: #12, 7(0%)
minecraft.crafted.light_blue_wool: #12, 1(0%)
minecraft.used.dried_kelp_block: #12, 3(0%)
minecraft.crafted.yellow_wool: #12, 1(0%)
minecraft.crafted.chest: #13, 1690(3%)
minecraft.used.diamond_pickaxe: #13, 354938(3%)
minecraft.used.chest: #13, 1073(3%)
minecraft.broken.iron_axe: #13, 3(3%)
minecraft.picked_up.oak_fence: #13, 179(3%)
minecraft.broken.iron_pickaxe: #13, 10(3%)
minecraft.crafted.diamond_pickaxe: #13, 15(3%)
minecraft.picked_up.redstone_torch: #13, 306(3%)
minecraft.crafted.oak_stairs: #13, 272(3%)
minecraft.dropped.diamond_sword: #13, 6(2%)
minecraft.used.lever: #13, 153(2%)
minecraft.used.redstone: #13, 1393(2%)
minecraft.picked_up.chest: #13, 458(2%)
minecraft.custom.walk_one_cm: #14, 110110319(3%)
minecraft.dropped.gravel: #13, 543(2%)
minecraft.picked_up.magma_block: #13, 501(2%)
minecraft.used.oak_fence: #13, 199(2%)
minecraft.crafted.oak_fence: #13, 228(2%)
minecraft.used.salmon_bucket: #13, 2(3%)
minecraft.picked_up.oak_button: #13, 13(2%)
minecraft.mined.loom: #13, 3(2%)
minecraft.picked_up.powered_rail: #13, 400(2%)
minecraft.used.rail: #13, 1463(2%)
minecraft.mined.white_carpet: #13, 43(2%)
minecraft.used.loom: #13, 5(2%)
minecraft.crafted.paper: #13, 10657(2%)
minecraft.dropped.leather_helmet: #13, 4(2%)
minecraft.used.oak_stairs: #13, 130(1%)
minecraft.used.smooth_stone_slab: #13, 3665(1%)
minecraft.mined.oak_button: #13, 4(1%)
minecraft.mined.stone_brick_stairs: #13, 219(1%)
minecraft.killed.pig: #13, 8(1%)
