stat, rank, value, (percentage) 
minecraft.crafted.chest: #10, 2451(5%)
minecraft.crafted.lime_dye: #9, 364(1%)
minecraft.picked_up.black_concrete_powder: #9, 992(1%)
minecraft.dropped.cocoa_beans: #9, 9(2%)
minecraft.picked_up.nether_brick_stairs: #9, 39(2%)
minecraft.mined.magenta_wool: #9, 2(2%)
minecraft.mined.brown_concrete: #9, 64(2%)
minecraft.used.dark_prismarine: #9, 218(1%)
minecraft.crafted.sandstone_slab: #9, 1704(1%)
minecraft.used.green_carpet: #9, 32(1%)
minecraft.used.stone_bricks: #10, 16424(4%)
minecraft.used.brown_concrete: #9, 21(1%)
minecraft.dropped.painting: #9, 1(1%)
minecraft.crafted.yellow_stained_glass_pane: #9, 32(1%)
minecraft.mined.green_carpet: #9, 3(1%)
minecraft.picked_up.yellow_banner: #9, 5(1%)
minecraft.used.magenta_wool: #9, 3(1%)
minecraft.picked_up.podzol: #9, 74(1%)
minecraft.used.emerald_ore: #9, 1(1%)
minecraft.used.purple_concrete_powder: #9, 64(1%)
minecraft.mined.purple_concrete: #9, 65(1%)
minecraft.picked_up.purple_wool: #9, 27(0%)
minecraft.used.pink_carpet: #9, 5(1%)
minecraft.picked_up.quartz_stairs: #10, 582(5%)
minecraft.used.light_blue_carpet: #9, 6(0%)
minecraft.crafted.acacia_stairs: #9, 8(0%)
minecraft.used.purple_concrete: #9, 22(0%)
minecraft.crafted.jungle_stairs: #9, 8(0%)
minecraft.mined.light_blue_carpet: #9, 1(0%)
minecraft.picked_up.magenta_carpet: #9, 1(0%)
minecraft.crafted.lime_terracotta: #9, 320(0%)
minecraft.used.oak_log: #10, 1275(4%)
minecraft.mined.spruce_stairs: #10, 328(4%)
minecraft.crafted.powered_rail: #10, 1296(5%)
minecraft.picked_up.leather_helmet: #10, 12(4%)
minecraft.used.hopper_minecart: #10, 52(5%)
minecraft.mined.iron_ore: #10, 4376(4%)
minecraft.crafted.hopper_minecart: #10, 52(5%)
minecraft.picked_up.iron_ore: #10, 4464(4%)
minecraft.picked_up.blue_shulker_box: #10, 130(4%)
minecraft.mined.dark_oak_slab: #10, 388(4%)
minecraft.used.blue_shulker_box: #10, 125(4%)
minecraft.picked_up.bookshelf: #10, 64(4%)
minecraft.mined.mossy_cobblestone: #10, 102(4%)
minecraft.picked_up.dark_oak_slab: #10, 449(4%)
minecraft.used.quartz_slab: #10, 1899(3%)
minecraft.picked_up.piston: #10, 220(4%)
minecraft.picked_up.furnace: #10, 133(3%)
minecraft.killed.ghast: #10, 78(4%)
minecraft.mined.quartz_pillar: #10, 150(4%)
minecraft.crafted.white_stained_glass: #10, 5200(4%)
minecraft.mined.cobblestone_stairs: #10, 98(3%)
minecraft.used.redstone_block: #10, 472(3%)
minecraft.picked_up.oak_sapling: #10, 864(2%)
minecraft.picked_up.stone_brick_stairs: #10, 695(3%)
minecraft.mined.ladder: #10, 138(3%)
minecraft.crafted.quartz_block: #10, 2845(3%)
minecraft.used.dark_oak_trapdoor: #10, 264(3%)
minecraft.crafted.light_gray_dye: #10, 1026(3%)
minecraft.mined.polished_andesite: #10, 733(3%)
minecraft.mined.white_bed: #10, 56(3%)
minecraft.crafted.magenta_dye: #10, 284(3%)
minecraft.used.white_stained_glass_pane: #10, 918(3%)
minecraft.custom.animals_bred: #10, 413(2%)
minecraft.picked_up.polished_andesite: #10, 742(2%)
minecraft.dropped.name_tag: #10, 7(3%)
minecraft.crafted.white_stained_glass_pane: #10, 912(3%)
minecraft.crafted.dark_oak_trapdoor: #10, 202(2%)
minecraft.crafted.orange_dye: #10, 266(2%)
minecraft.used.cobblestone_stairs: #10, 291(2%)
minecraft.picked_up.cooked_beef: #10, 388(2%)
minecraft.crafted.light_gray_concrete_powder: #10, 2360(3%)
minecraft.custom.trigger_trapped_chest: #10, 66(2%)
minecraft.crafted.spruce_pressure_plate: #10, 11(2%)
minecraft.picked_up.sandstone_slab: #10, 236(2%)
minecraft.crafted.red_dye: #10, 797(2%)
minecraft.crafted.gray_concrete_powder: #10, 2496(2%)
minecraft.picked_up.diamond_block: #10, 100(2%)
minecraft.used.gray_concrete_powder: #10, 2488(2%)
minecraft.crafted.sticky_piston: #10, 161(2%)
minecraft.mined.stripped_birch_log: #10, 150(2%)
minecraft.picked_up.snow_block: #10, 185(2%)
minecraft.picked_up.red_concrete_powder: #10, 96(2%)
minecraft.mined.cauldron: #10, 9(2%)
minecraft.picked_up.quartz_pillar: #10, 149(2%)
minecraft.crafted.green_concrete_powder: #10, 576(2%)
minecraft.picked_up.dark_oak_log: #10, 1623(1%)
minecraft.used.gray_concrete: #10, 1258(1%)
minecraft.used.green_concrete_powder: #10, 526(2%)
minecraft.picked_up.spruce_pressure_plate: #10, 6(2%)
minecraft.mined.light_gray_concrete_powder: #10, 69(1%)
minecraft.picked_up.light_blue_stained_glass_pane: #10, 14(2%)
minecraft.crafted.cyan_stained_glass_pane: #10, 48(2%)
minecraft.mined.dark_oak_log: #10, 1182(1%)
minecraft.mined.cyan_concrete: #10, 64(1%)
minecraft.crafted.chiseled_sandstone: #10, 12(2%)
minecraft.picked_up.green_concrete: #10, 136(1%)
minecraft.crafted.cyan_concrete_powder: #10, 64(1%)
minecraft.mined.acacia_log: #10, 453(1%)
minecraft.mined.black_wool: #10, 16(1%)
minecraft.picked_up.acacia_log: #10, 453(1%)
minecraft.used.birch_leaves: #10, 59(1%)
minecraft.picked_up.snow: #10, 520(1%)
minecraft.used.chiseled_stone_bricks: #10, 46(1%)
minecraft.picked_up.red_stained_glass_pane: #10, 13(1%)
minecraft.crafted.green_carpet: #10, 30(1%)
minecraft.crafted.loom: #10, 3(1%)
minecraft.picked_up.cobblestone: #11, 78956(4%)
minecraft.mined.melon: #10, 13(1%)
minecraft.mined.blue_orchid: #10, 10(1%)
minecraft.dropped.cactus: #10, 158(0%)
minecraft.crafted.purple_stained_glass_pane: #10, 16(1%)
minecraft.crafted.purple_concrete_powder: #10, 64(1%)
minecraft.crafted.oak_wood: #10, 30(1%)
minecraft.picked_up.yellow_concrete_powder: #10, 33(1%)
minecraft.crafted.orange_carpet: #10, 6(1%)
minecraft.crafted.black_stained_glass_pane: #10, 32(0%)
minecraft.used.lily_pad: #10, 2(1%)
