stat, rank, value, (percentage) 
minecraft.mined.mossy_stone_brick_wall: #1, 24(47%)
minecraft.dropped.mossy_stone_brick_wall: #1, 15(94%)
minecraft.used.spruce_wood: #2, 1221(17%)
minecraft.crafted.red_nether_brick_stairs: #1, 528(62%)
minecraft.dropped.gold_block: #2, 230(22%)
minecraft.crafted.coarse_dirt: #2, 7048(15%)
minecraft.picked_up.cobblestone_stairs: #2, 775(13%)
minecraft.picked_up.kelp: #3, 62698(15%)
minecraft.dropped.stone_brick_wall: #1, 133(26%)
minecraft.dropped.magenta_carpet: #1, 16(89%)
minecraft.picked_up.stick: #3, 6661(13%)
minecraft.crafted.white_concrete_powder: #2, 54256(13%)
minecraft.mined.jungle_sapling: #2, 59(23%)
minecraft.picked_up.light_gray_shulker_box: #2, 627(13%)
minecraft.crafted.spruce_planks: #2, 45699(10%)
minecraft.dropped.dispenser: #2, 86(25%)
minecraft.used.black_stained_glass_pane: #3, 1819(22%)
minecraft.crafted.beetroot_soup: #1, 19(86%)
minecraft.mined.diorite: #2, 33072(11%)
minecraft.dropped.stonecutter: #1, 3(43%)
minecraft.picked_up.packed_ice: #3, 52063(18%)
minecraft.mined.birch_log: #3, 9008(15%)
minecraft.crafted.spruce_door: #2, 171(12%)
minecraft.dropped.brown_stained_glass: #1, 938(57%)
minecraft.mined.red_nether_brick_stairs: #1, 44(56%)
minecraft.mined.brown_wall_banner: #1, 9(56%)
minecraft.crafted.spruce_fence: #2, 2529(13%)
minecraft.picked_up.quartz_stairs: #2, 1474(13%)
minecraft.dropped.brick_stairs: #1, 17(41%)
minecraft.used.light_gray_shulker_box: #2, 583(13%)
minecraft.dropped.dead_fire_coral_block: #1, 18(55%)
minecraft.mined.light_gray_shulker_box: #2, 577(13%)
minecraft.dropped.spruce_leaves: #2, 878(19%)
minecraft.dropped.nether_wart: #2, 452(22%)
minecraft.dropped.diorite_stairs: #1, 32(80%)
minecraft.used.dark_oak_planks: #2, 2815(12%)
minecraft.picked_up.oak_sapling: #3, 4578(12%)
minecraft.mined.cobblestone_stairs: #2, 364(12%)
minecraft.picked_up.dark_oak_fence_gate: #2, 116(18%)
minecraft.dropped.oak_slab: #2, 202(15%)
minecraft.dropped.prismarine_stairs: #1, 21(51%)
minecraft.dropped.obsidian: #2, 262(15%)
minecraft.dropped.nether_brick_wall: #1, 111(51%)
