stat, rank, value, (percentage) 
minecraft.crafted.iron_chestplate: #5, 25(8%)
minecraft.dropped.smooth_stone: #4, 173(7%)
minecraft.crafted.polished_diorite_stairs: #4, 160(21%)
minecraft.crafted.purple_carpet: #4, 192(10%)
minecraft.used.tripwire_hook: #4, 118(5%)
minecraft.dropped.lime_bed: #4, 1(25%)
minecraft.mined.bubble_column: #4, 1(25%)
minecraft.broken.diamond_axe: #4, 1(25%)
minecraft.crafted.iron_sword: #5, 31(8%)
minecraft.mined.lime_concrete: #4, 935(7%)
minecraft.mined.dragon_wall_head: #4, 11(9%)
minecraft.crafted.smithing_table: #4, 213(11%)
minecraft.picked_up.trapped_chest: #4, 10(10%)
minecraft.picked_up.cobweb: #4, 551(5%)
minecraft.mined.trapped_chest: #4, 10(10%)
minecraft.picked_up.brick_slab: #4, 164(7%)
minecraft.picked_up.magenta_stained_glass: #4, 88(6%)
minecraft.dropped.arrow: #4, 1187(4%)
minecraft.picked_up.arrow: #5, 4377(6%)
minecraft.crafted.slime_ball: #4, 1265(6%)
minecraft.broken.iron_shovel: #5, 11(9%)
minecraft.crafted.comparator: #4, 357(4%)
minecraft.crafted.light_blue_concrete_powder: #4, 880(5%)
minecraft.used.smooth_sandstone_slab: #4, 341(6%)
minecraft.picked_up.composter: #5, 54(11%)
minecraft.used.dead_fire_coral_fan: #4, 18(9%)
minecraft.broken.diamond_hoe: #4, 1(20%)
minecraft.custom.animals_bred: #5, 1317(7%)
minecraft.picked_up.birch_sign: #5, 85(8%)
minecraft.picked_up.oak_button: #5, 56(8%)
minecraft.picked_up.cornflower: #4, 214(4%)
minecraft.crafted.oak_stairs: #5, 801(8%)
minecraft.mined.oak_leaves: #5, 9649(5%)
minecraft.used.polished_diorite_stairs: #4, 151(12%)
minecraft.mined.jungle_fence: #4, 24(4%)
minecraft.crafted.diamond_leggings: #5, 9(7%)
minecraft.mined.comparator: #5, 167(8%)
minecraft.crafted.nether_brick: #4, 1877(6%)
minecraft.used.netherrack: #5, 10706(7%)
minecraft.used.yellow_stained_glass: #5, 546(9%)
minecraft.picked_up.yellow_stained_glass_pane: #4, 23(7%)
minecraft.crafted.melon: #4, 7618(6%)
minecraft.picked_up.diorite_slab: #4, 5(13%)
minecraft.killed_by.ravager: #4, 14(7%)
minecraft.mined.smooth_quartz_stairs: #4, 80(6%)
minecraft.picked_up.smooth_stone_slab: #5, 5107(8%)
minecraft.crafted.oak_button: #5, 102(8%)
minecraft.picked_up.chest: #5, 1547(6%)
minecraft.mined.yellow_stained_glass_pane: #4, 23(5%)
minecraft.crafted.smooth_quartz_slab: #4, 498(6%)
minecraft.mined.oak_slab: #5, 474(7%)
minecraft.mined.cauldron: #5, 47(9%)
minecraft.mined.nether_bricks: #5, 2441(8%)
minecraft.crafted.black_carpet: #5, 744(10%)
minecraft.picked_up.mycelium: #4, 1218(4%)
minecraft.used.iron_shovel: #5, 2782(6%)
minecraft.crafted.red_carpet: #4, 498(3%)
minecraft.crafted.note_block: #5, 195(8%)
minecraft.used.lime_carpet: #5, 330(10%)
minecraft.picked_up.smithing_table: #4, 18(7%)
minecraft.mined.mycelium: #4, 1233(4%)
minecraft.mined.slime_block: #5, 729(7%)
minecraft.dropped.leather_leggings: #5, 22(7%)
minecraft.picked_up.nether_bricks: #5, 2264(8%)
minecraft.picked_up.white_banner: #5, 158(7%)
minecraft.used.white_stained_glass: #5, 8463(7%)
minecraft.used.shulker_box: #5, 2436(6%)
minecraft.picked_up.azure_bluet: #5, 480(7%)
minecraft.used.white_shulker_box: #5, 656(7%)
minecraft.picked_up.lime_stained_glass_pane: #5, 116(10%)
minecraft.picked_up.oak_stairs: #5, 353(7%)
minecraft.picked_up.shulker_box: #5, 2468(6%)
minecraft.mined.redstone_wall_torch: #5, 133(7%)
minecraft.mined.lime_glazed_terracotta: #4, 4(6%)
minecraft.dropped.lectern: #4, 1(11%)
minecraft.used.potato: #5, 2153(6%)
minecraft.picked_up.cauldron: #5, 50(8%)
minecraft.dropped.cobweb: #4, 9(6%)
minecraft.used.gray_carpet: #5, 1807(7%)
minecraft.broken.iron_sword: #5, 2(10%)
minecraft.picked_up.potato: #5, 6872(6%)
minecraft.crafted.glowstone: #5, 1597(8%)
minecraft.picked_up.acacia_sapling: #5, 975(7%)
minecraft.used.spruce_sign: #5, 128(6%)
minecraft.crafted.yellow_stained_glass_pane: #5, 384(11%)
minecraft.mined.piston_head: #5, 19(7%)
minecraft.mined.oak_trapdoor: #5, 188(6%)
minecraft.picked_up.blaze_powder: #4, 56(2%)
minecraft.killed.bat: #5, 57(7%)
minecraft.crafted.green_dye: #5, 4350(6%)
minecraft.picked_up.birch_slab: #5, 375(7%)
minecraft.picked_up.red_bed: #5, 42(7%)
minecraft.used.oak_sign: #5, 793(5%)
minecraft.used.detector_rail: #5, 51(7%)
minecraft.crafted.gray_wool: #5, 132(9%)
minecraft.crafted.yellow_stained_glass: #5, 880(9%)
minecraft.crafted.brick_slab: #4, 270(3%)
minecraft.picked_up.magenta_banner: #4, 3(4%)
minecraft.dropped.bow: #5, 221(5%)
minecraft.picked_up.shield: #5, 24(6%)
minecraft.used.polished_diorite_slab: #4, 106(4%)
minecraft.used.armor_stand: #5, 198(6%)
minecraft.used.yellow_concrete: #5, 1076(8%)
minecraft.dropped.jungle_log: #4, 134(2%)
minecraft.used.brewing_stand: #5, 34(6%)
minecraft.crafted.smooth_sandstone: #5, 4349(9%)
minecraft.picked_up.light_gray_stained_glass: #5, 551(8%)
minecraft.dropped.cooked_beef: #5, 121(6%)
minecraft.custom.interact_with_brewingstand: #5, 511(5%)
minecraft.dropped.white_stained_glass_pane: #5, 142(11%)
minecraft.crafted.smooth_sandstone_stairs: #4, 176(3%)
minecraft.picked_up.tropical_fish_bucket: #4, 2(3%)
minecraft.crafted.gray_carpet: #5, 1356(7%)
minecraft.used.purpur_block: #5, 141(9%)
minecraft.crafted.light_gray_stained_glass_pane: #5, 1439(9%)
minecraft.mined.lever: #5, 108(5%)
minecraft.used.lava_bucket: #5, 122(5%)
minecraft.dropped.white_carpet: #5, 39(6%)
minecraft.custom.play_noteblock: #5, 236(5%)
minecraft.picked_up.dried_kelp: #4, 2757(0%)
minecraft.dropped.glass: #5, 567(5%)
minecraft.used.hopper: #6, 2700(8%)
minecraft.used.stone_bricks: #6, 29061(7%)
minecraft.dropped.cake: #5, 7(8%)
minecraft.picked_up.smooth_sandstone_slab: #5, 50(7%)
minecraft.used.sea_lantern: #5, 2984(4%)
minecraft.picked_up.lime_concrete: #5, 933(6%)
minecraft.dropped.stone_slab: #5, 135(6%)
minecraft.dropped.spruce_log: #5, 319(5%)
minecraft.dropped.snow_block: #5, 117(7%)
minecraft.dropped.spruce_fence: #5, 65(6%)
minecraft.mined.smooth_sandstone_slab: #5, 44(7%)
