Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.pickup.minecraft.lapis_ore,0,0,66,0,25,137,0,332,0,14,0,0,228,0,217,19,45,0,0,4,0,0,0,192,42,32,41,497,0,100,37,0,9,16,0,0,0,0,0
stat.pickup.minecraft.lava_bucket,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,1,4,0,3,0,0,0,0,16,49,0,3,73,0,9,6,0,2,0,0,0,0,0,0
stat.pickup.minecraft.lead,0,0,1,0,4,7,0,105,0,0,0,0,33,0,11,58,157,0,4,1,0,0,0,8,273,5,99,159,0,62,135,0,162,2,0,0,0,0,0
stat.pickup.minecraft.leather,0,0,13,0,196,43,0,4262,0,3,0,2,184,0,104,1615,562,0,1284,2,0,0,0,269,449,106,409,2606,0,1930,427,0,1024,12492,0,0,26,0,18
stat.pickup.minecraft.leather_boots,0,0,2,0,14,9,0,141,0,3,0,3,22,0,17,101,18,0,11,9,0,0,0,55,72,20,88,68,0,14,121,0,59,49,0,0,1,1,0
stat.pickup.minecraft.leather_chestplate,0,0,0,0,6,9,0,128,0,1,0,6,13,0,18,100,39,0,5,3,0,0,0,32,38,7,56,76,0,8,45,0,32,41,0,0,0,0,2
stat.pickup.minecraft.leather_helmet,0,0,2,0,5,3,0,88,0,1,0,2,12,0,12,72,24,0,10,0,0,0,0,24,27,13,57,37,0,12,39,0,46,17,0,0,0,0,0
stat.pickup.minecraft.leather_leggings,0,0,3,0,7,7,0,154,0,3,0,2,9,0,14,82,29,0,11,1,0,0,0,33,41,13,47,58,0,35,48,0,44,26,0,0,0,0,0
stat.pickup.minecraft.leaves,0,0,3552,0,270,567,0,111231,0,61,0,0,2020,0,1088,18413,749,0,1356,167,0,0,0,4530,10642,1113,5374,21997,0,1250,1161,0,7298,306,0,0,0,0,32
stat.pickup.minecraft.leaves2,0,0,0,0,0,9,0,2719,0,0,0,0,1,0,1,4785,58,0,607,0,0,0,0,584,709,0,553,543,0,9,38,0,0,0,0,0,0,0,0
stat.pickup.minecraft.lever,0,0,75,0,68,119,0,92,0,0,0,5,266,0,24,29,392,0,28,166,0,0,0,114,217,23,395,876,0,313,1013,0,183,15,0,0,0,0,0
stat.pickup.minecraft.light_blue_glazed_terracotta,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,13,39,0,0,0,0,0,3,0,0,0,0,0
stat.pickup.minecraft.light_blue_shulker_box,0,0,0,0,0,0,0,42,0,0,0,0,7,0,0,66,8,0,0,0,0,0,0,47,34,0,111,186,0,0,43,0,123,68,0,0,0,0,0
stat.pickup.minecraft.light_weighted_pressure_plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,12,24,0,0,10,0,23,1,0,0,0,0,0
stat.pickup.minecraft.lime_glazed_terracotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,8,1,0,0,0,0,0
stat.pickup.minecraft.lime_shulker_box,0,0,0,0,0,0,0,24,0,0,0,0,4,0,0,3,15,0,0,0,0,0,0,0,116,0,45,75,0,0,18,0,55,8,0,0,0,0,0
stat.pickup.minecraft.lingering_potion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.lit_pumpkin,0,0,0,0,0,0,0,7,0,0,0,1,29,0,0,17,89,0,0,0,0,0,0,7,223,0,73,238,0,1,18,0,113,268,0,0,0,0,0
stat.pickup.minecraft.log,0,0,1355,0,1956,2804,0,51492,0,2201,0,1208,3951,0,11192,83305,5848,0,5833,1737,0,15,0,8369,41215,4034,40388,15769,239,5654,2869,0,11497,4156,14,0,221,1,482
stat.pickup.minecraft.log2,0,0,347,0,494,970,0,15997,0,14,0,3,200,0,4647,42534,355,0,5555,79,0,0,0,3864,25159,1778,21963,9651,0,86,879,0,4131,919,0,0,480,2,328
stat.pickup.minecraft.magenta_glazed_terracotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,25,0,0,0,0,0
stat.pickup.minecraft.magenta_shulker_box,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,5,43,0,100,61,0,0,16,0,8,4,0,0,0,0,0
stat.pickup.minecraft.magma,0,0,115,0,0,0,0,729,0,0,0,0,144,0,326,17038,2001,0,71,35,0,0,0,673,284,0,5798,452,0,1,43,0,269,50,0,0,0,0,0
stat.pickup.minecraft.magma_cream,0,0,55,0,4,9,0,708,0,0,0,0,3,0,16,14,332,0,30,9,0,0,0,53,138,0,1581,317,0,118,521,0,241,8,0,0,0,0,0
stat.pickup.minecraft.map,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,1,26,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.melon,0,0,136,0,4,94,0,268,0,719,0,134,37279,0,330,236,393,0,330,0,0,0,0,966,345,0,1228,305,0,191,595,0,12510,94,0,0,0,0,3
stat.pickup.minecraft.melon_block,0,0,0,0,1,16,0,25,0,0,0,0,123,0,6,265,5,0,0,0,0,0,0,1,2,0,14,37,0,0,58,0,79,9,0,0,0,0,0
