stat, rank, value, (percentage) 
minecraft.used.blue_shulker_box: #3, 522(8%)
minecraft.picked_up.pale_oak_leaves: #4, 1147(12%)
minecraft.used.weathered_cut_copper_stairs: #2, 2(11%)
minecraft.killed.parrot: #2, 3(11%)
minecraft.crafted.blue_shulker_box: #3, 8(8%)
minecraft.used.chiseled_tuff: #3, 584(7%)
minecraft.mined.nether_wart: #4, 1134(11%)
minecraft.used.pale_hanging_moss: #3, 212(14%)
minecraft.picked_up.yellow_candle: #2, 13(7%)
minecraft.dropped.cobbled_deepslate_slab: #3, 119(10%)
minecraft.crafted.red_bundle: #2, 1(25%)
minecraft.crafted.weathered_copper_door: #2, 3(25%)
minecraft.crafted.light_gray_stained_glass_pane: #4, 1360(15%)
minecraft.dropped.clock: #3, 6(15%)
minecraft.crafted.glass_bottle: #4, 3219(10%)
minecraft.crafted.exposed_copper_trapdoor: #2, 4(22%)
minecraft.dropped.acacia_leaves: #3, 128(10%)
minecraft.dropped.pearlescent_froglight: #2, 208(5%)
minecraft.crafted.bone_block: #4, 6236(10%)
minecraft.mined.spruce_door: #4, 17(11%)
minecraft.used.gray_bundle: #2, 1(20%)
minecraft.crafted.orange_bundle: #2, 1(20%)
minecraft.picked_up.dead_brain_coral_block: #3, 117(10%)
minecraft.crafted.weathered_copper_trapdoor: #2, 22(9%)
minecraft.dropped.cherry_planks: #3, 31(11%)
minecraft.picked_up.leather_leggings: #4, 39(7%)
minecraft.dropped.magenta_wool: #3, 42(15%)
minecraft.crafted.dark_oak_door: #3, 24(7%)
minecraft.used.birch_hanging_sign: #3, 12(11%)
minecraft.mined.spruce_slab: #4, 958(9%)
minecraft.mined.azalea_leaves: #4, 13591(11%)
minecraft.picked_up.tuff_stairs: #3, 32(10%)
minecraft.killed.cow: #4, 1028(9%)
minecraft.picked_up.stripped_jungle_log: #4, 517(11%)
minecraft.used.lily_pad: #2, 1(14%)
minecraft.crafted.bamboo_fence_gate: #3, 130(9%)
minecraft.used.nether_wart: #4, 1197(9%)
minecraft.picked_up.waxed_weathered_cut_copper: #3, 75(12%)
minecraft.dropped.white_terracotta: #3, 74(9%)
minecraft.used.mangrove_pressure_plate: #3, 23(11%)
minecraft.dropped.fern: #3, 41(15%)
minecraft.mined.flowering_azalea_leaves: #4, 4391(11%)
minecraft.used.spruce_button: #2, 627(1%)
minecraft.crafted.spruce_button: #2, 587(1%)
minecraft.used.iron_bars: #4, 2084(9%)
minecraft.used.diamond_hoe: #4, 61148(9%)
minecraft.crafted.bamboo_slab: #4, 6432(11%)
minecraft.picked_up.cherry_hanging_sign: #3, 5(24%)
minecraft.used.oxeye_daisy: #3, 14(7%)
minecraft.dropped.polished_diorite: #3, 63(12%)
minecraft.used.prismarine_slab: #3, 138(13%)
minecraft.dropped.gray_stained_glass: #3, 14(13%)
minecraft.picked_up.white_stained_glass_pane: #3, 101(6%)
minecraft.mined.spruce_sign: #4, 14(10%)
minecraft.dropped.light_gray_bed: #3, 9(15%)
minecraft.dropped.green_wool: #3, 129(7%)
minecraft.used.prismarine_bricks: #2, 434(1%)
minecraft.crafted.light_gray_banner: #3, 41(10%)
