stat, rank, value, (percentage) 
minecraft.crafted.bamboo_mosaic: #5, 194(6%)
minecraft.dropped.carrot: #6, 2635(7%)
minecraft.used.mangrove_button: #5, 8(5%)
minecraft.picked_up.lectern: #6, 468(8%)
minecraft.picked_up.spruce_wood: #5, 66(4%)
minecraft.dropped.netherite_helmet: #5, 2(6%)
minecraft.mined.scaffolding: #6, 5395(7%)
minecraft.mined.red_candle: #5, 6(6%)
minecraft.picked_up.brush: #5, 3(8%)
minecraft.picked_up.potato: #6, 3071(6%)
minecraft.dropped.rotten_flesh: #6, 7450(6%)
minecraft.dropped.gray_bed: #5, 1(7%)
minecraft.mined.blackstone_slab: #5, 28(4%)
minecraft.picked_up.red_stained_glass: #5, 115(5%)
minecraft.picked_up.beetroot_soup: #5, 22(6%)
minecraft.used.polished_blackstone_button: #5, 45(3%)
minecraft.used.brown_mushroom: #5, 72(3%)
minecraft.picked_up.oxidized_chiseled_copper: #5, 7(5%)
minecraft.killed.ravager: #5, 2(6%)
minecraft.crafted.andesite_slab: #5, 184(3%)
minecraft.dropped.purpur_block: #5, 64(3%)
minecraft.dropped.leather_boots: #6, 32(6%)
minecraft.used.stripped_bamboo_block: #5, 47(4%)
minecraft.custom.boat_one_cm: #6, 6556080(6%)
minecraft.used.oxidized_cut_copper_stairs: #5, 131(3%)
minecraft.picked_up.dune_armor_trim_smithing_template: #5, 1(9%)
minecraft.picked_up.mossy_stone_brick_stairs: #5, 9(4%)
minecraft.used.dried_kelp_block: #5, 13(5%)
minecraft.broken.diamond_shovel: #5, 2(4%)
minecraft.crafted.wooden_hoe: #5, 2(7%)
minecraft.picked_up.fishing_rod: #6, 72(5%)
minecraft.mined.acacia_log: #6, 2678(6%)
minecraft.crafted.chainmail_chestplate: #5, 2(9%)
minecraft.dropped.cake: #5, 2(9%)
minecraft.used.lectern: #6, 478(7%)
minecraft.used.mangrove_roots: #5, 758(2%)
minecraft.dropped.tropical_fish: #5, 9(3%)
minecraft.killed.happy_ghast: #5, 17(4%)
minecraft.picked_up.pale_oak_wood: #5, 22(5%)
minecraft.dropped.light_gray_concrete_powder: #5, 64(3%)
minecraft.used.seagrass: #5, 36(3%)
minecraft.crafted.jungle_boat: #5, 7(3%)
minecraft.mined.red_wool: #6, 143(6%)
minecraft.dropped.dirt: #6, 7259(5%)
minecraft.dropped.jungle_fence: #5, 12(4%)
minecraft.dropped.diamond_shovel: #6, 14(6%)
minecraft.picked_up.nether_brick_slab: #5, 10(4%)
minecraft.mined.dirt_path: #6, 1213(6%)
minecraft.picked_up.deepslate_brick_stairs: #5, 107(2%)
minecraft.picked_up.oxidized_cut_copper: #5, 85(3%)
minecraft.picked_up.torchflower_seeds: #5, 42(2%)
minecraft.mined.crimson_hyphae: #5, 4(4%)
