stat, rank, value, (percentage) 
minecraft.crafted.warped_pressure_plate: #5, 1(3%)
minecraft.crafted.magenta_wool: #5, 13(1%)
minecraft.picked_up.large_amethyst_bud: #5, 17(1%)
minecraft.crafted.nether_brick_stairs: #5, 1(2%)
minecraft.crafted.prismarine_stairs: #5, 1(2%)
minecraft.used.dark_oak_trapdoor: #6, 517(4%)
minecraft.dropped.gravel: #6, 2206(4%)
minecraft.mined.dragon_head: #6, 2(10%)
minecraft.crafted.spruce_button: #5, 120(0%)
minecraft.dropped.pumpkin_pie: #5, 2(1%)
minecraft.picked_up.blue_shulker_box: #6, 324(5%)
minecraft.crafted.prismarine_slab: #5, 2(1%)
minecraft.crafted.prismarine_brick_stairs: #5, 1(0%)
minecraft.mined.blast_furnace: #6, 23(5%)
minecraft.crafted.brick: #6, 5579(4%)
minecraft.crafted.end_stone_brick_slab: #5, 2(0%)
minecraft.crafted.honey_block: #5, 19(0%)
minecraft.dropped.blue_terracotta: #5, 1(0%)
minecraft.crafted.purpur_block: #5, 4(0%)
minecraft.mined.blue_shulker_box: #6, 324(5%)
minecraft.picked_up.dark_oak_door: #6, 9(6%)
minecraft.used.blue_shulker_box: #6, 324(5%)
minecraft.mined.dark_oak_leaves: #6, 1498(4%)
minecraft.crafted.golden_boots: #6, 6(7%)
minecraft.picked_up.cactus: #6, 1590(3%)
minecraft.dropped.purpur_stairs: #6, 10(7%)
minecraft.mined.dragon_wall_head: #6, 7(4%)
minecraft.dropped.cookie: #6, 173(4%)
minecraft.killed.piglin_brute: #6, 13(6%)
minecraft.used.brown_carpet: #6, 140(4%)
minecraft.picked_up.oxidized_chiseled_copper: #6, 7(5%)
minecraft.picked_up.burn_pottery_sherd: #6, 2(8%)
minecraft.mined.jack_o_lantern: #6, 13(5%)
minecraft.picked_up.host_armor_trim_smithing_template: #6, 2(9%)
minecraft.custom.play_noteblock: #7, 312(6%)
minecraft.dropped.obsidian: #7, 120(8%)
minecraft.crafted.detector_rail: #6, 66(3%)
minecraft.crafted.dark_oak_pressure_plate: #6, 11(5%)
minecraft.crafted.written_book: #6, 14(5%)
minecraft.picked_up.iron_leggings: #7, 13(6%)
minecraft.dropped.slime_block: #6, 103(3%)
minecraft.crafted.cherry_hanging_sign: #6, 6(8%)
minecraft.custom.mob_kills: #7, 450599(5%)
minecraft.crafted.purple_wool: #6, 15(4%)
minecraft.crafted.birch_pressure_plate: #6, 3(5%)
minecraft.picked_up.netherite_helmet: #7, 19(7%)
minecraft.killed.wandering_trader: #7, 12(6%)
minecraft.picked_up.magenta_wool: #6, 113(2%)
minecraft.crafted.blue_wool: #6, 24(3%)
minecraft.picked_up.dead_bush: #7, 420(7%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #6, 1(7%)
minecraft.crafted.blue_ice: #6, 121(2%)
minecraft.used.purpur_pillar: #6, 9(2%)
minecraft.custom.pot_flower: #7, 105(5%)
minecraft.mined.weathered_chiseled_copper: #6, 1(5%)
minecraft.mined.chiseled_tuff_bricks: #7, 277(5%)
minecraft.mined.oxidized_copper_grate: #6, 34(2%)
minecraft.mined.water_cauldron: #7, 8(8%)
minecraft.picked_up.red_nether_bricks: #6, 2(5%)
minecraft.picked_up.birch_fence_gate: #6, 14(3%)
minecraft.dropped.brown_terracotta: #6, 7(4%)
minecraft.killed.creeper: #6, 257(1%)
minecraft.dropped.stone_sword: #6, 36(1%)
minecraft.picked_up.weathered_chiseled_copper: #6, 1(5%)
minecraft.crafted.nether_brick: #6, 201(2%)
minecraft.killed.wither_skeleton: #6, 299(1%)
minecraft.used.pink_carpet: #6, 21(2%)
minecraft.used.birch_fence_gate: #6, 18(2%)
minecraft.picked_up.granite: #7, 11155(5%)
minecraft.used.chorus_fruit: #6, 4(2%)
minecraft.mined.chipped_anvil: #7, 17(5%)
minecraft.mined.cherry_wood: #6, 1(4%)
minecraft.used.stone_stairs: #7, 374(5%)
minecraft.used.filled_map: #6, 2(2%)
minecraft.mined.large_amethyst_bud: #6, 17(1%)
minecraft.picked_up.armor_stand: #7, 226(4%)
minecraft.killed_by.vex: #6, 1(2%)
minecraft.picked_up.weathered_cut_copper_stairs: #6, 1(2%)
minecraft.mined.weathered_cut_copper_stairs: #6, 1(2%)
minecraft.used.powered_rail: #7, 1117(4%)
minecraft.dropped.sandstone_slab: #6, 2(2%)
minecraft.picked_up.dripstone_block: #7, 1851(4%)
minecraft.crafted.crimson_fence_gate: #6, 1(1%)
minecraft.picked_up.dark_oak_trapdoor: #7, 149(4%)
minecraft.crafted.chiseled_quartz_block: #6, 1(1%)
minecraft.dropped.sandstone_wall: #6, 1(1%)
minecraft.mined.wither_rose: #6, 6(1%)
minecraft.picked_up.green_candle: #6, 2(1%)
minecraft.crafted.sandstone_stairs: #6, 2(1%)
minecraft.crafted.polished_blackstone_brick_wall: #6, 1(0%)
minecraft.picked_up.exposed_cut_copper_stairs: #6, 1(0%)
minecraft.mined.exposed_cut_copper_stairs: #6, 1(0%)
minecraft.dropped.lime_terracotta: #6, 1(0%)
minecraft.dropped.activator_rail: #6, 2(0%)
minecraft.mined.mycelium: #6, 10(0%)
minecraft.used.light_gray_glazed_terracotta: #6, 1(0%)
minecraft.picked_up.saddle: #7, 32(4%)
minecraft.dropped.polished_andesite: #7, 64(6%)
minecraft.crafted.piston: #7, 703(4%)
minecraft.crafted.sea_lantern: #6, 1(0%)
minecraft.dropped.saddle: #7, 5(5%)
minecraft.mined.raw_copper_block: #7, 11(5%)
minecraft.dropped.iron_nugget: #7, 704(4%)
minecraft.crafted.bricks: #7, 1170(4%)
minecraft.mined.pink_tulip: #7, 49(5%)
minecraft.used.nether_quartz_ore: #7, 480(4%)
minecraft.picked_up.nether_brick_fence: #7, 27(4%)
minecraft.picked_up.bread: #7, 270(4%)
minecraft.picked_up.iron_horse_armor: #7, 4(6%)
minecraft.mined.brown_carpet: #7, 38(4%)
minecraft.mined.dripstone_block: #7, 1631(4%)
minecraft.crafted.comparator: #7, 227(4%)
minecraft.crafted.crafter: #7, 95(3%)
minecraft.mined.end_rod: #7, 189(3%)
minecraft.used.dragon_head: #7, 2(6%)
minecraft.crafted.raw_copper: #7, 7425(4%)
minecraft.mined.copper_block: #7, 109(3%)
minecraft.dropped.apple: #7, 50(3%)
minecraft.crafted.target: #7, 113(3%)
minecraft.dropped.brick: #7, 194(3%)
minecraft.picked_up.diamond_horse_armor: #7, 2(6%)
minecraft.used.raw_copper_block: #7, 12(4%)
minecraft.mined.weathered_copper: #7, 129(3%)
minecraft.dropped.wooden_hoe: #7, 2(6%)
minecraft.picked_up.howl_pottery_sherd: #7, 2(6%)
minecraft.dropped.bamboo_planks: #7, 192(2%)
minecraft.used.oak_boat: #8, 77(6%)
minecraft.picked_up.blue_ice: #7, 136(3%)
minecraft.crafted.spruce_pressure_plate: #7, 10(3%)
minecraft.dropped.netherite_sword: #7, 2(3%)
minecraft.mined.white_shulker_box: #8, 378(5%)
