stat, rank, value, (percentage) 
minecraft.crafted.waxed_weathered_cut_copper_stairs: #2, 64(18%)
minecraft.picked_up.brick_stairs: #2, 39(10%)
minecraft.dropped.iron_sword: #3, 36(12%)
minecraft.picked_up.emerald_block: #3, 1192(11%)
minecraft.crafted.polished_basalt: #3, 1396(12%)
minecraft.picked_up.chiseled_copper: #3, 53(17%)
minecraft.picked_up.piston: #3, 731(10%)
minecraft.picked_up.powered_rail: #3, 1215(10%)
minecraft.used.red_mushroom: #2, 38(13%)
minecraft.crafted.chiseled_quartz_block: #2, 19(23%)
minecraft.crafted.brick: #4, 18358(14%)
minecraft.picked_up.polished_andesite: #3, 637(10%)
minecraft.mined.exposed_cut_copper: #2, 18(10%)
minecraft.picked_up.exposed_cut_copper: #2, 18(10%)
minecraft.picked_up.dried_kelp_block: #2, 1597(9%)
minecraft.picked_up.polished_blackstone_bricks: #2, 526(7%)
minecraft.crafted.lime_stained_glass: #3, 2360(15%)
minecraft.mined.beacon: #3, 46(9%)
minecraft.used.andesite: #3, 8619(9%)
minecraft.crafted.waxed_copper_trapdoor: #3, 414(17%)
minecraft.crafted.gray_dye: #3, 3360(9%)
minecraft.dropped.cyan_terracotta: #3, 174(17%)
minecraft.picked_up.andesite: #3, 23234(9%)
minecraft.picked_up.beacon: #3, 47(9%)
minecraft.mined.yellow_concrete: #3, 2950(10%)
minecraft.used.spruce_trapdoor: #3, 5184(9%)
minecraft.crafted.magma_block: #2, 1278(17%)
minecraft.used.light_blue_stained_glass_pane: #3, 434(14%)
minecraft.used.wet_sponge: #2, 1178(10%)
minecraft.mined.brick_slab: #3, 24(16%)
minecraft.dropped.acacia_sapling: #3, 100(13%)
minecraft.crafted.orange_stained_glass_pane: #3, 1088(16%)
minecraft.mined.warped_button: #2, 5(24%)
minecraft.picked_up.music_disc_stal: #2, 10(23%)
minecraft.mined.tripwire_hook: #3, 14(10%)
minecraft.mined.birch_sign: #3, 14(10%)
minecraft.killed.zombie: #2, 6438(4%)
minecraft.crafted.lever: #3, 627(8%)
minecraft.crafted.iron_door: #3, 36(10%)
minecraft.picked_up.clock: #3, 12(13%)
minecraft.dropped.music_disc_mall: #2, 2(29%)
minecraft.dropped.music_disc_creator_music_box: #2, 2(29%)
minecraft.picked_up.weathered_chiseled_copper: #2, 4(19%)
minecraft.mined.iron_block: #3, 3417(9%)
minecraft.killed_by.blaze: #2, 6(19%)
minecraft.picked_up.iron_bars: #3, 653(8%)
minecraft.crafted.light_blue_stained_glass_pane: #3, 528(12%)
minecraft.used.waxed_weathered_cut_copper_stairs: #3, 241(18%)
minecraft.used.hopper_minecart: #3, 82(9%)
minecraft.dropped.lingering_potion: #2, 5(36%)
minecraft.dropped.netherite_ingot: #2, 3(21%)
minecraft.crafted.orange_terracotta: #2, 512(7%)
minecraft.picked_up.end_rod: #3, 641(8%)
minecraft.dropped.tnt: #3, 294(11%)
minecraft.used.cobblestone_stairs: #3, 957(9%)
minecraft.dropped.deepslate_brick_stairs: #2, 13(15%)
minecraft.custom.crouch_one_cm: #4, 40943841(7%)
minecraft.crafted.polished_tuff_stairs: #3, 73(9%)
minecraft.dropped.blue_terracotta: #2, 68(20%)
minecraft.used.acacia_trapdoor: #3, 855(10%)
minecraft.dropped.green_harness: #2, 1(50%)
minecraft.broken.bow: #2, 1(50%)
minecraft.used.oak_boat: #3, 103(8%)
minecraft.mined.waxed_chiseled_copper: #3, 71(11%)
minecraft.mined.light_gray_stained_glass: #3, 176(10%)
minecraft.dropped.spruce_trapdoor: #3, 229(10%)
minecraft.killed.stray: #3, 345(11%)
minecraft.dropped.carrot_on_a_stick: #3, 6(19%)
minecraft.dropped.disc_fragment_5: #2, 7(47%)
minecraft.killed_by.vindicator: #2, 4(18%)
minecraft.mined.verdant_froglight: #3, 895(9%)
minecraft.picked_up.andesite_slab: #3, 176(8%)
minecraft.crafted.white_dye: #3, 7078(7%)
minecraft.picked_up.music_disc_blocks: #3, 11(17%)
minecraft.crafted.warped_trapdoor: #3, 224(10%)
minecraft.used.orange_stained_glass_pane: #3, 590(12%)
minecraft.crafted.light_gray_stained_glass: #3, 3232(12%)
minecraft.picked_up.pale_oak_pressure_plate: #2, 5(17%)
minecraft.mined.deepslate_tile_stairs: #3, 209(9%)
minecraft.dropped.light_gray_terracotta: #3, 65(14%)
minecraft.used.gold_block: #4, 1293(12%)
minecraft.used.white_stained_glass_pane: #3, 1409(9%)
minecraft.custom.trigger_trapped_chest: #4, 135(11%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #2, 273(5%)
minecraft.mined.resin_brick_wall: #2, 13(19%)
minecraft.picked_up.mangrove_fence_gate: #3, 8(22%)
minecraft.mined.polished_deepslate: #3, 352(7%)
minecraft.used.slime_block: #3, 1001(7%)
minecraft.crafted.gold_ingot: #4, 20754(11%)
minecraft.used.gray_glazed_terracotta: #3, 184(21%)
minecraft.used.conduit: #3, 6(19%)
