stat, rank, value, (percentage) 
minecraft.dropped.stripped_bamboo_block: #1, 14(70%)
minecraft.picked_up.bamboo_hanging_sign: #1, 28(25%)
minecraft.used.spruce_chest_boat: #1, 47(56%)
minecraft.picked_up.deepslate_diamond_ore: #2, 4576(15%)
minecraft.picked_up.nether_brick_stairs: #1, 23(40%)
minecraft.picked_up.black_candle: #1, 43(46%)
minecraft.used.birch_stairs: #2, 515(24%)
minecraft.used.warped_slab: #2, 1712(22%)
minecraft.used.short_dry_grass: #1, 193(40%)
minecraft.custom.jump: #2, 998448(9%)
minecraft.crafted.mossy_stone_brick_wall: #1, 44(31%)
minecraft.dropped.diamond_helmet: #1, 10(11%)
minecraft.used.pale_oak_wood: #2, 883(27%)
minecraft.used.azalea_leaves: #2, 14355(19%)
minecraft.used.cactus: #2, 668(16%)
minecraft.dropped.light_blue_candle: #1, 60(91%)
minecraft.picked_up.turtle_helmet: #1, 6(55%)
minecraft.used.stripped_jungle_wood: #2, 511(31%)
minecraft.dropped.jungle_slab: #1, 107(18%)
minecraft.mined.dead_brain_coral_fan: #1, 18(45%)
minecraft.used.orange_candle: #1, 115(67%)
minecraft.picked_up.polished_granite_slab: #1, 93(33%)
minecraft.dropped.nether_brick_slab: #1, 34(67%)
minecraft.picked_up.dead_brain_coral: #1, 40(67%)
minecraft.picked_up.flower_pot: #2, 165(15%)
minecraft.picked_up.seagrass: #2, 928(18%)
minecraft.used.acacia_slab: #2, 1060(23%)
minecraft.broken.iron_axe: #1, 9(14%)
minecraft.used.coarse_dirt: #3, 15312(19%)
minecraft.used.golden_pickaxe: #1, 234(88%)
minecraft.crafted.bamboo_fence: #2, 843(18%)
minecraft.picked_up.polished_granite_stairs: #1, 140(37%)
minecraft.dropped.cherry_log: #2, 208(26%)
minecraft.used.bamboo_pressure_plate: #1, 27(26%)
minecraft.crafted.stripped_oak_wood: #1, 573(51%)
minecraft.dropped.yellow_stained_glass: #1, 139(51%)
