stat, rank, value, (percentage) 
minecraft.mined.lilac: #2, 98(11%)
minecraft.picked_up.lilac: #3, 1088(13%)
minecraft.used.cake: #2, 14(15%)
minecraft.crafted.warped_trapdoor: #2, 284(12%)
minecraft.picked_up.small_dripleaf: #2, 61(21%)
minecraft.used.brick_wall: #2, 121(16%)
minecraft.broken.iron_axe: #2, 8(12%)
minecraft.mined.torchflower_crop: #1, 10(43%)
minecraft.picked_up.golden_horse_armor: #2, 12(16%)
minecraft.dropped.lead: #3, 127(13%)
minecraft.dropped.chorus_fruit: #2, 473(19%)
minecraft.mined.jungle_wall_sign: #2, 32(16%)
minecraft.mined.oak_pressure_plate: #2, 6(15%)
minecraft.picked_up.jungle_hanging_sign: #2, 14(28%)
minecraft.crafted.leather_boots: #2, 143(11%)
minecraft.mined.potted_dead_bush: #2, 5(19%)
minecraft.dropped.acacia_sapling: #2, 101(13%)
minecraft.mined.end_stone: #3, 2063(13%)
minecraft.dropped.beetroot_soup: #2, 26(37%)
minecraft.mined.light_gray_stained_glass: #2, 198(11%)
minecraft.picked_up.mangrove_slab: #3, 471(14%)
minecraft.crafted.brown_wool: #2, 337(12%)
minecraft.picked_up.rose_bush: #3, 1199(11%)
minecraft.dropped.repeater: #3, 253(20%)
minecraft.used.warped_trapdoor: #2, 333(12%)
minecraft.mined.sweet_berry_bush: #3, 187(15%)
minecraft.dropped.trial_key: #2, 37(15%)
minecraft.used.rose_bush: #3, 167(15%)
minecraft.picked_up.magenta_stained_glass: #2, 137(15%)
minecraft.picked_up.bamboo_hanging_sign: #2, 21(19%)
minecraft.picked_up.red_mushroom_block: #2, 775(15%)
minecraft.used.horn_coral_fan: #2, 90(21%)
minecraft.used.birch_trapdoor: #3, 271(15%)
minecraft.picked_up.wild_armor_trim_smithing_template: #1, 9(53%)
minecraft.crafted.leather_leggings: #2, 151(10%)
minecraft.picked_up.echo_shard: #2, 47(20%)
minecraft.picked_up.bamboo_planks: #3, 4242(13%)
minecraft.picked_up.nether_brick_fence: #3, 87(14%)
minecraft.used.carrot: #3, 1828(11%)
minecraft.crafted.mangrove_log: #1, 32(100%)
minecraft.crafted.pale_hanging_moss: #1, 12(100%)
minecraft.crafted.orange_harness: #1, 1(50%)
minecraft.used.snort_pottery_sherd: #1, 4(100%)
minecraft.used.leather: #1, 2(100%)
minecraft.broken.golden_axe: #1, 1(100%)
minecraft.dropped.waxed_copper_door: #1, 1(100%)
minecraft.dropped.green_harness: #1, 1(50%)
minecraft.picked_up.orange_harness: #1, 1(50%)
minecraft.crafted.yellow_harness: #1, 1(33%)
minecraft.broken.netherite_shovel: #1, 1(33%)
minecraft.dropped.sculk_shrieker: #1, 6(33%)
minecraft.picked_up.fishing_rod: #3, 140(11%)
minecraft.picked_up.orange_concrete_powder: #2, 1654(15%)
minecraft.dropped.fern: #2, 65(25%)
minecraft.picked_up.wooden_hoe: #2, 10(20%)
minecraft.picked_up.yellow_concrete_powder: #3, 2357(18%)
minecraft.picked_up.pufferfish_bucket: #2, 6(21%)
minecraft.picked_up.burn_pottery_sherd: #2, 6(24%)
minecraft.used.birch_log: #3, 1581(12%)
minecraft.picked_up.green_shulker_box: #3, 474(12%)
minecraft.used.oak_slab: #3, 994(12%)
