stat, rank, value, (percentage) 
minecraft.crafted.bamboo_sign: #2, 429(8%)
minecraft.crafted.furnace: #3, 761(10%)
minecraft.picked_up.enchanted_golden_apple: #3, 59(14%)
minecraft.used.bamboo_fence_gate: #3, 200(18%)
minecraft.dropped.pale_hanging_moss: #2, 65(26%)
minecraft.crafted.iron_nugget: #3, 17245(10%)
minecraft.picked_up.orange_wool: #3, 819(11%)
minecraft.used.green_concrete: #2, 458(10%)
minecraft.used.diamond_hoe: #3, 70527(10%)
minecraft.dropped.brown_terracotta: #2, 33(17%)
minecraft.mined.acacia_wall_sign: #2, 14(10%)
minecraft.mined.acacia_sign: #2, 4(14%)
minecraft.used.purple_bed: #3, 80(17%)
minecraft.killed.husk: #3, 272(13%)
minecraft.dropped.tuff_bricks: #3, 490(12%)
minecraft.dropped.jungle_log: #2, 154(8%)
minecraft.crafted.red_nether_brick_stairs: #2, 16(21%)
minecraft.picked_up.lily_pad: #3, 399(10%)
minecraft.picked_up.nether_quartz_ore: #3, 1478(11%)
minecraft.mined.weathered_copper: #3, 494(13%)
minecraft.dropped.dropper: #3, 85(19%)
minecraft.used.bone_block: #3, 2189(10%)
minecraft.used.acacia_fence: #3, 502(13%)
minecraft.picked_up.red_nether_brick_stairs: #2, 21(28%)
minecraft.picked_up.sandstone: #3, 15650(10%)
minecraft.mined.calibrated_sculk_sensor: #3, 22(12%)
minecraft.mined.twisting_vines_plant: #2, 34(9%)
minecraft.used.jukebox: #3, 56(10%)
minecraft.used.stone_button: #3, 774(10%)
minecraft.mined.cherry_wall_sign: #2, 4(24%)
minecraft.used.end_crystal: #2, 37(23%)
minecraft.mined.attached_pumpkin_stem: #3, 35(11%)
minecraft.crafted.orange_carpet: #2, 480(11%)
minecraft.dropped.bell: #2, 9(23%)
minecraft.custom.inspect_hopper: #3, 7330(10%)
minecraft.mined.cauldron: #3, 29(10%)
minecraft.mined.red_nether_brick_stairs: #2, 21(28%)
minecraft.picked_up.pumpkin_seeds: #3, 2747(9%)
minecraft.crafted.name_tag: #3, 216(12%)
minecraft.crafted.cherry_planks: #3, 3751(10%)
minecraft.picked_up.bamboo_chest_raft: #2, 9(22%)
minecraft.picked_up.black_concrete: #3, 1929(9%)
minecraft.used.skeleton_skull: #2, 7(27%)
minecraft.picked_up.brown_wool: #3, 530(11%)
minecraft.used.music_disc_5: #2, 2(22%)
