stat, rank, value, (percentage) 
minecraft.used.mutton: #2, 9(16%)
minecraft.crafted.end_stone_bricks: #2, 436(16%)
minecraft.dropped.porkchop: #2, 48(7%)
minecraft.picked_up.oak_wood: #3, 158(15%)
minecraft.custom.raid_win: #2, 9227(18%)
minecraft.mined.weeping_vines_plant: #3, 86(10%)
minecraft.used.brown_bed: #2, 27(40%)
minecraft.mined.nether_bricks: #3, 2148(8%)
minecraft.dropped.rotten_flesh: #4, 23760(9%)
minecraft.crafted.acacia_planks: #4, 8072(12%)
minecraft.dropped.dark_oak_fence: #2, 91(8%)
minecraft.dropped.purple_shulker_box: #2, 2(29%)
minecraft.crafted.dark_oak_fence_gate: #3, 267(11%)
minecraft.dropped.orange_terracotta: #3, 89(11%)
minecraft.mined.red_sandstone_slab: #2, 3(38%)
minecraft.used.dead_tube_coral_block: #2, 65(16%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #2, 21(9%)
minecraft.custom.minecart_one_cm: #3, 5093218(6%)
minecraft.picked_up.cut_red_sandstone: #2, 4(36%)
minecraft.used.spruce_hanging_sign: #2, 8(14%)
minecraft.crafted.apple: #2, 300(14%)
minecraft.crafted.smooth_quartz_stairs: #3, 436(13%)
minecraft.crafted.acacia_button: #3, 41(11%)
minecraft.used.cookie: #3, 66(11%)
minecraft.mined.tinted_glass: #3, 329(10%)
minecraft.used.mud_brick_wall: #3, 192(14%)
minecraft.mined.granite_wall: #2, 24(10%)
minecraft.mined.cyan_stained_glass: #3, 79(15%)
minecraft.used.acacia_trapdoor: #3, 1142(12%)
