stat, rank, value, (percentage) 
minecraft.picked_up.danger_pottery_sherd: #6, 1(4%)
minecraft.picked_up.beetroot: #6, 51(2%)
minecraft.picked_up.purple_bed: #6, 16(2%)
minecraft.dropped.leather_boots: #6, 20(1%)
minecraft.custom.fall_one_cm: #8, 11079792(4%)
minecraft.mined.purple_bed: #6, 15(2%)
minecraft.used.dark_oak_fence: #7, 602(4%)
minecraft.crafted.stone_bricks: #7, 7824(4%)
minecraft.mined.birch_log: #7, 4621(4%)
minecraft.dropped.obsidian: #6, 94(1%)
minecraft.crafted.diorite_stairs: #6, 20(2%)
minecraft.used.soul_torch: #6, 14(2%)
minecraft.picked_up.torchflower_seeds: #6, 32(1%)
minecraft.dropped.chiseled_stone_bricks: #6, 62(2%)
minecraft.crafted.chainmail_boots: #6, 1(2%)
minecraft.mined.chiseled_bookshelf: #6, 3(3%)
minecraft.crafted.gray_bed: #6, 1(2%)
minecraft.mined.scaffolding: #7, 4548(5%)
minecraft.used.yellow_wool: #7, 616(5%)
minecraft.crafted.polished_deepslate: #7, 4268(4%)
minecraft.dropped.allium: #6, 2(1%)
minecraft.dropped.birch_wood: #6, 2(1%)
minecraft.used.book: #6, 13(1%)
minecraft.used.ancient_debris: #6, 2(1%)
minecraft.used.pink_terracotta: #6, 30(1%)
minecraft.crafted.warped_pressure_plate: #6, 3(1%)
minecraft.mined.lily_of_the_valley: #7, 16(5%)
minecraft.crafted.cracked_deepslate_bricks: #6, 30(1%)
minecraft.crafted.yellow_glazed_terracotta: #6, 12(1%)
minecraft.crafted.crimson_pressure_plate: #6, 4(0%)
minecraft.used.birch_sapling: #7, 805(4%)
minecraft.picked_up.cherry_log: #7, 454(5%)
minecraft.crafted.dark_oak_fence: #7, 567(4%)
minecraft.dropped.pink_wool: #6, 1(0%)
minecraft.picked_up.blue_carpet: #6, 7(0%)
minecraft.mined.stonecutter: #7, 74(4%)
minecraft.dropped.torchflower_seeds: #6, 2(0%)
minecraft.used.brewing_stand: #7, 20(4%)
minecraft.mined.lapis_block: #6, 3(0%)
minecraft.used.lime_carpet: #6, 14(0%)
minecraft.crafted.melon: #6, 4(0%)
