stat, rank, value, (percentage) 
minecraft.used.mangrove_fence_gate: #2, 37(31%)
minecraft.used.dead_tube_coral: #1, 7(58%)
minecraft.picked_up.mourner_pottery_sherd: #1, 10(25%)
minecraft.mined.warped_fungus: #3, 270(15%)
minecraft.used.deepslate_lapis_ore: #2, 163(14%)
minecraft.used.green_wool: #2, 933(17%)
minecraft.mined.cyan_banner: #1, 3(43%)
minecraft.picked_up.magenta_concrete_powder: #2, 184(34%)
minecraft.crafted.lectern: #2, 138(11%)
minecraft.picked_up.yellow_terracotta: #3, 2601(14%)
minecraft.used.smooth_red_sandstone_stairs: #1, 97(41%)
minecraft.used.trident: #2, 1881(13%)
minecraft.crafted.coal: #3, 8220(15%)
minecraft.mined.mangrove_wood: #2, 81(24%)
minecraft.mined.acacia_leaves: #2, 4261(13%)
minecraft.crafted.pink_concrete_powder: #2, 2736(20%)
minecraft.picked_up.spruce_sapling: #3, 3066(12%)
minecraft.mined.piston: #3, 1052(14%)
minecraft.crafted.birch_slab: #3, 1262(14%)
minecraft.mined.oak_slab: #2, 180(10%)
minecraft.picked_up.shroomlight: #2, 590(10%)
minecraft.picked_up.warped_hyphae: #2, 675(20%)
minecraft.picked_up.red_sandstone: #2, 288(32%)
minecraft.picked_up.brown_terracotta: #3, 15443(15%)
minecraft.picked_up.jungle_planks: #2, 1310(14%)
minecraft.killed_by.ravager: #2, 113(8%)
minecraft.crafted.spruce_slab: #2, 6060(9%)
minecraft.mined.potted_crimson_fungus: #1, 2(50%)
minecraft.picked_up.polished_diorite: #2, 536(11%)
minecraft.picked_up.chest_minecart: #2, 10(19%)
minecraft.picked_up.sculk_catalyst: #2, 151(15%)
minecraft.mined.light_gray_concrete: #3, 4140(16%)
minecraft.custom.swim_one_cm: #3, 10869684(8%)
minecraft.picked_up.magenta_carpet: #2, 1187(40%)
minecraft.picked_up.grass: #3, 1977(14%)
minecraft.used.light_gray_concrete: #3, 3984(16%)
minecraft.custom.sprint_one_cm: #3, 182949765(6%)
minecraft.picked_up.andesite_slab: #3, 231(18%)
minecraft.mined.red_sandstone_wall: #2, 34(40%)
minecraft.used.light_gray_banner: #2, 23(24%)
minecraft.used.wooden_pickaxe: #2, 51(9%)
minecraft.mined.pitcher_plant: #2, 13(20%)
minecraft.used.mud_brick_wall: #2, 224(17%)
minecraft.mined.moss_block: #3, 15613(10%)
minecraft.dropped.light_gray_stained_glass_pane: #2, 48(16%)
minecraft.used.jungle_planks: #3, 3520(20%)
minecraft.broken.brush: #1, 2(33%)
minecraft.dropped.silence_armor_trim_smithing_template: #1, 2(67%)
minecraft.mined.white_wool: #2, 609(9%)
minecraft.used.netherite_axe: #2, 69841(16%)
minecraft.picked_up.warped_nylium: #3, 1010(14%)
minecraft.used.brush: #2, 459(18%)
minecraft.used.muddy_mangrove_roots: #2, 261(18%)
minecraft.crafted.mud_bricks: #3, 2780(16%)
minecraft.picked_up.granite_stairs: #2, 28(23%)
minecraft.picked_up.music_disc_chirp: #2, 22(18%)
minecraft.picked_up.gray_carpet: #2, 3143(9%)
minecraft.mined.granite_slab: #2, 176(14%)
minecraft.used.stonecutter: #3, 269(11%)
minecraft.crafted.acacia_fence_gate: #2, 26(25%)
minecraft.crafted.bowl: #2, 180(20%)
minecraft.picked_up.andesite_wall: #2, 313(15%)
minecraft.used.grindstone: #3, 161(12%)
minecraft.picked_up.jungle_button: #2, 14(37%)
minecraft.mined.peony: #3, 38(13%)
minecraft.mined.red_sandstone: #2, 102(37%)
minecraft.mined.brown_terracotta: #3, 14212(14%)
minecraft.mined.dark_oak_fence_gate: #2, 41(16%)
minecraft.picked_up.smooth_red_sandstone: #2, 217(44%)
minecraft.picked_up.copper_block: #3, 1452(12%)
minecraft.used.player_head: #3, 316(9%)
minecraft.picked_up.black_terracotta: #2, 1411(13%)
minecraft.picked_up.beacon: #2, 62(9%)
minecraft.crafted.acacia_fence: #2, 171(20%)
minecraft.used.warped_sign: #3, 248(15%)
minecraft.crafted.lime_concrete_powder: #3, 2832(17%)
minecraft.mined.crimson_roots: #3, 1137(14%)
minecraft.used.iron_door: #3, 81(12%)
minecraft.picked_up.dripstone_block: #3, 1939(13%)
minecraft.used.brown_stained_glass: #2, 402(26%)
minecraft.used.cyan_terracotta: #3, 7241(11%)
minecraft.picked_up.purple_dye: #2, 76(17%)
minecraft.picked_up.cyan_wool: #3, 588(18%)
minecraft.mined.stripped_crimson_hyphae: #2, 192(23%)
