stat, rank, value, (percentage) 
minecraft.picked_up.bamboo_block: #8, 8(1%)
minecraft.dropped.dark_oak_door: #8, 3(1%)
minecraft.picked_up.lime_stained_glass_pane: #8, 14(1%)
minecraft.mined.amethyst_block: #9, 978(4%)
minecraft.picked_up.nether_star: #8, 3(1%)
minecraft.killed.blaze: #8, 78(0%)
minecraft.dropped.stripped_oak_log: #8, 3(1%)
minecraft.picked_up.raw_gold: #9, 1336(4%)
minecraft.dropped.cobblestone_wall: #8, 6(1%)
minecraft.crafted.dropper: #9, 414(4%)
minecraft.dropped.beetroot_seeds: #8, 5(1%)
minecraft.dropped.stripped_dark_oak_log: #8, 1(1%)
minecraft.used.polished_diorite_slab: #8, 10(1%)
minecraft.picked_up.music_disc_stal: #8, 1(1%)
minecraft.mined.green_carpet: #8, 5(0%)
minecraft.dropped.mossy_stone_brick_slab: #8, 1(1%)
minecraft.dropped.heavy_weighted_pressure_plate: #8, 1(1%)
minecraft.used.turtle_egg: #8, 6(1%)
minecraft.used.lime_bed: #8, 2(0%)
minecraft.used.mossy_stone_brick_slab: #8, 7(0%)
minecraft.crafted.glass: #9, 11552(3%)
minecraft.picked_up.red_sandstone: #8, 4(0%)
minecraft.mined.netherite_block: #8, 1(0%)
minecraft.crafted.light_weighted_pressure_plate: #8, 11(0%)
minecraft.crafted.lime_wool: #8, 3(0%)
minecraft.mined.raw_iron_block: #8, 13(0%)
minecraft.picked_up.netherite_block: #8, 1(0%)
minecraft.used.netherite_block: #8, 1(0%)
minecraft.dropped.melon_slice: #8, 11(0%)
minecraft.used.wooden_shovel: #8, 3(0%)
minecraft.killed.zombified_piglin: #8, 134(0%)
minecraft.used.spruce_door: #9, 22(4%)
minecraft.crafted.comparator: #9, 457(4%)
minecraft.dropped.written_book: #9, 6(3%)
minecraft.dropped.bow: #9, 118(3%)
minecraft.used.polished_deepslate_slab: #9, 1535(4%)
minecraft.used.redstone_ore: #9, 16(5%)
minecraft.used.granite: #9, 716(3%)
minecraft.picked_up.blue_concrete_powder: #9, 44(3%)
minecraft.crafted.redstone_torch: #9, 2443(3%)
minecraft.mined.vine: #9, 375(3%)
minecraft.crafted.oak_hanging_sign: #9, 6(7%)
minecraft.custom.traded_with_villager: #9, 19750(3%)
minecraft.picked_up.wooden_pickaxe: #9, 2(4%)
minecraft.picked_up.enchanted_book: #9, 48(3%)
minecraft.used.orange_shulker_box: #9, 110(3%)
minecraft.mined.spore_blossom: #9, 12(3%)
minecraft.picked_up.orange_shulker_box: #9, 104(2%)
minecraft.crafted.cobblestone_stairs: #9, 72(3%)
minecraft.mined.orange_shulker_box: #9, 103(2%)
minecraft.dropped.oak_door: #9, 2(5%)
minecraft.crafted.mossy_cobblestone_slab: #9, 60(3%)
minecraft.mined.orange_wool: #9, 61(3%)
minecraft.used.oxidized_copper: #9, 496(3%)
minecraft.used.stripped_spruce_log: #9, 231(2%)
minecraft.mined.rooted_dirt: #9, 366(2%)
minecraft.crafted.dark_oak_door: #9, 12(2%)
minecraft.picked_up.carved_pumpkin: #9, 338(1%)
minecraft.crafted.smooth_stone_slab: #9, 284(2%)
minecraft.crafted.mossy_cobblestone: #9, 635(2%)
minecraft.used.yellow_wool: #9, 243(2%)
minecraft.mined.glass: #10, 994(5%)
minecraft.dropped.enchanted_book: #9, 29(2%)
minecraft.mined.cut_copper_stairs: #9, 13(2%)
minecraft.used.tinted_glass: #9, 982(2%)
