stat, rank, value, (percentage) 
minecraft.picked_up.enchanted_golden_apple: #1, 37(53%)
minecraft.dropped.diamond_pickaxe: #1, 53(12%)
minecraft.used.end_stone_brick_slab: #1, 114(79%)
minecraft.dropped.stone_sword: #2, 214(29%)
minecraft.crafted.purple_bed: #1, 32(52%)
minecraft.picked_up.shears: #1, 181(16%)
minecraft.dropped.cracked_polished_blackstone_bricks: #1, 647(43%)
minecraft.picked_up.orange_bed: #1, 143(29%)
minecraft.dropped.raw_copper: #1, 2385(25%)
minecraft.dropped.crossbow: #2, 585(28%)
minecraft.mined.oak_wood: #1, 236(39%)
minecraft.custom.horse_one_cm: #2, 12677335(18%)
minecraft.killed_by.creeper: #1, 20(17%)
minecraft.picked_up.light_gray_candle: #1, 167(58%)
minecraft.crafted.light_blue_carpet: #2, 5817(47%)
minecraft.dropped.diamond_horse_armor: #1, 16(52%)
minecraft.killed_by.zombified_piglin: #1, 17(77%)
minecraft.dropped.crafting_table: #1, 145(17%)
minecraft.mined.hopper: #1, 1694(18%)
minecraft.picked_up.acacia_boat: #1, 43(27%)
minecraft.picked_up.netherite_helmet: #1, 72(25%)
minecraft.crafted.acacia_sign: #1, 234(30%)
minecraft.killed.elder_guardian: #1, 33(32%)
minecraft.picked_up.hopper: #1, 1926(17%)
minecraft.crafted.diamond_boots: #1, 28(17%)
minecraft.mined.soul_campfire: #1, 40(45%)
minecraft.picked_up.netherite_scrap: #1, 32(56%)
minecraft.picked_up.stone_brick_wall: #1, 360(20%)
minecraft.crafted.cracked_deepslate_bricks: #1, 2623(45%)
minecraft.picked_up.lime_candle: #1, 97(74%)
minecraft.mined.tinted_glass: #2, 880(26%)
minecraft.picked_up.spruce_sign: #1, 217(14%)
minecraft.used.lily_of_the_valley: #1, 49(34%)
minecraft.used.deepslate_brick_stairs: #2, 4056(22%)
minecraft.used.birch_boat: #1, 45(15%)
minecraft.picked_up.bell: #2, 112(27%)
minecraft.dropped.black_dye: #1, 414(34%)
minecraft.used.spruce_stairs: #1, 2877(16%)
minecraft.mined.orange_bed: #1, 143(31%)
minecraft.used.iron_helmet: #1, 18(20%)
minecraft.used.mutton: #1, 31(54%)
minecraft.killed.shulker: #1, 755(21%)
minecraft.dropped.lapis_lazuli: #2, 1065(24%)
minecraft.used.orange_bed: #1, 125(27%)
minecraft.picked_up.cracked_deepslate_bricks: #2, 1330(35%)
minecraft.used.splash_potion: #2, 213(19%)
minecraft.picked_up.spectral_arrow: #2, 5035(21%)
minecraft.picked_up.saddle: #2, 85(18%)
minecraft.dropped.jungle_trapdoor: #1, 253(53%)
minecraft.dropped.orange_wool: #1, 797(43%)
minecraft.dropped.music_disc_13: #1, 20(30%)
minecraft.dropped.written_book: #1, 27(16%)
minecraft.picked_up.blackstone: #1, 25758(15%)
minecraft.dropped.totem_of_undying: #2, 236(21%)
minecraft.picked_up.blaze_rod: #1, 749(17%)
minecraft.mined.iron_block: #1, 4479(16%)
minecraft.dropped.gray_concrete: #1, 233(38%)
minecraft.crafted.iron_chestplate: #2, 111(18%)
minecraft.mined.amethyst_block: #1, 3666(17%)
minecraft.mined.glowstone: #2, 1719(19%)
minecraft.killed_by.piglin: #1, 8(32%)
minecraft.crafted.end_stone_bricks: #1, 1432(52%)
minecraft.dropped.dead_bush: #1, 60(59%)
minecraft.mined.flower_pot: #1, 40(20%)
minecraft.dropped.oak_fence: #1, 68(24%)
minecraft.picked_up.white_banner: #2, 1000(20%)
minecraft.picked_up.wither_rose: #2, 1787(34%)
minecraft.picked_up.netherite_leggings: #1, 75(19%)
minecraft.dropped.raw_gold: #2, 310(32%)
minecraft.used.furnace_minecart: #1, 43(31%)
minecraft.crafted.iron_leggings: #2, 113(18%)
minecraft.mined.lime_candle: #1, 38(81%)
minecraft.used.orange_candle: #1, 142(58%)
minecraft.mined.red_stained_glass: #1, 341(21%)
minecraft.mined.stone_button: #1, 132(16%)
minecraft.picked_up.echo_shard: #1, 77(45%)
minecraft.dropped.fern: #1, 159(45%)
minecraft.mined.birch_trapdoor: #1, 124(21%)
minecraft.picked_up.light_blue_dye: #1, 189(33%)
minecraft.picked_up.stone_button: #2, 962(19%)
minecraft.picked_up.lectern: #2, 1624(18%)
minecraft.dropped.lime_dye: #1, 231(49%)
minecraft.mined.nether_gold_ore: #2, 1674(18%)
minecraft.picked_up.chain: #1, 678(14%)
minecraft.used.iron_boots: #1, 15(20%)
minecraft.picked_up.black_dye: #2, 882(25%)
minecraft.dropped.raw_iron_block: #1, 90(49%)
minecraft.used.fletching_table: #1, 90(39%)
minecraft.picked_up.netherite_boots: #1, 77(17%)
minecraft.mined.rail: #2, 7750(18%)
minecraft.picked_up.end_stone_brick_stairs: #1, 30(65%)
minecraft.used.red_nether_bricks: #1, 527(56%)
minecraft.dropped.lily_pad: #1, 50(39%)
minecraft.used.totem_of_undying: #2, 187(17%)
minecraft.picked_up.smoker: #1, 30(35%)
minecraft.picked_up.soul_torch: #1, 397(23%)
minecraft.used.mangrove_pressure_plate: #1, 150(48%)
minecraft.picked_up.black_stained_glass_pane: #1, 243(24%)
minecraft.custom.deaths: #2, 696(10%)
minecraft.mined.red_candle: #1, 37(43%)
minecraft.dropped.diamond_shovel: #1, 25(14%)
