stat, rank, value, (percentage) 
minecraft.mined.light_gray_shulker_box: #5, 240(8%)
minecraft.picked_up.warped_fence_gate: #4, 4(9%)
minecraft.mined.nether_bricks: #5, 1743(7%)
minecraft.crafted.mossy_stone_brick_slab: #4, 14(7%)
minecraft.dropped.polished_andesite_slab: #4, 54(5%)
minecraft.used.light_gray_shulker_box: #5, 239(8%)
minecraft.mined.green_glazed_terracotta: #4, 17(8%)
minecraft.picked_up.light_gray_shulker_box: #5, 240(8%)
minecraft.crafted.birch_pressure_plate: #4, 12(6%)
minecraft.picked_up.jungle_fence: #4, 29(7%)
minecraft.dropped.smooth_stone: #4, 165(5%)
minecraft.dropped.calcite: #4, 100(3%)
minecraft.used.enchanted_golden_apple: #4, 2(8%)
minecraft.mined.soul_campfire: #4, 6(7%)
minecraft.used.jungle_fence: #4, 72(7%)
minecraft.crafted.jungle_door: #4, 6(6%)
minecraft.dropped.iron_horse_armor: #4, 1(11%)
minecraft.dropped.dragon_head: #4, 1(12%)
minecraft.mined.oak_door: #5, 8(8%)
minecraft.used.stripped_birch_log: #4, 184(3%)
minecraft.picked_up.crossbow: #5, 107(7%)
minecraft.mined.mossy_cobblestone_wall: #4, 6(6%)
minecraft.picked_up.red_banner: #5, 34(8%)
minecraft.killed.trader_llama: #5, 22(7%)
minecraft.killed.cow: #5, 368(5%)
minecraft.mined.pink_tulip: #4, 6(6%)
minecraft.dropped.stripped_acacia_log: #4, 8(7%)
minecraft.dropped.weathered_copper: #4, 1(11%)
minecraft.used.spruce_door: #5, 35(6%)
minecraft.crafted.ward_armor_trim_smithing_template: #4, 2(11%)
minecraft.picked_up.oxidized_cut_copper: #5, 49(8%)
minecraft.used.azure_bluet: #4, 33(3%)
minecraft.mined.oak_button: #4, 4(5%)
minecraft.picked_up.white_bed: #6, 215(9%)
minecraft.dropped.birch_fence: #4, 15(4%)
minecraft.used.gray_glazed_terracotta: #4, 159(6%)
minecraft.picked_up.candle: #5, 63(8%)
minecraft.dropped.diorite_wall: #4, 38(6%)
minecraft.mined.warped_roots: #5, 329(5%)
minecraft.mined.nether_sprouts: #5, 265(7%)
minecraft.used.spruce_fence_gate: #5, 172(6%)
minecraft.mined.sweet_berry_bush: #5, 24(6%)
minecraft.crafted.jungle_fence_gate: #5, 47(10%)
minecraft.picked_up.crafting_table: #6, 494(6%)
minecraft.used.light_gray_wool: #5, 2133(6%)
minecraft.used.campfire: #5, 179(5%)
minecraft.mined.white_tulip: #4, 4(4%)
minecraft.used.mossy_stone_brick_slab: #4, 60(4%)
minecraft.picked_up.bamboo_slab: #4, 12(5%)
minecraft.used.brown_carpet: #4, 239(2%)
minecraft.dropped.gray_carpet: #5, 87(9%)
minecraft.used.mossy_stone_brick_stairs: #4, 47(3%)
minecraft.used.golden_boots: #4, 1(5%)
minecraft.picked_up.polished_diorite_slab: #4, 11(4%)
minecraft.used.weathered_copper: #5, 76(6%)
minecraft.used.yellow_glazed_terracotta: #4, 36(4%)
minecraft.crafted.spruce_fence_gate: #5, 156(5%)
minecraft.mined.gray_glazed_terracotta: #4, 31(4%)
minecraft.used.warped_fungus_on_a_stick: #4, 46(3%)
minecraft.dropped.stripped_oak_wood: #4, 2(4%)
minecraft.dropped.red_tulip: #4, 3(3%)
minecraft.mined.stripped_oak_log: #4, 204(1%)
minecraft.dropped.redstone_block: #5, 125(5%)
minecraft.mined.potted_flowering_azalea_bush: #4, 1(4%)
minecraft.picked_up.stripped_oak_log: #4, 203(1%)
minecraft.mined.nether_brick_wall: #4, 2(6%)
minecraft.picked_up.green_shulker_box: #5, 131(4%)
minecraft.crafted.bamboo_button: #4, 1(3%)
minecraft.picked_up.acacia_button: #5, 4(7%)
minecraft.dropped.pink_tulip: #4, 3(5%)
minecraft.crafted.chainmail_leggings: #4, 1(4%)
minecraft.used.oak_wood: #5, 315(6%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #4, 6(2%)
minecraft.used.jungle_hanging_sign: #4, 2(4%)
minecraft.mined.netherite_block: #4, 6(2%)
minecraft.dropped.stripped_mangrove_log: #4, 2(2%)
minecraft.crafted.muddy_mangrove_roots: #5, 111(11%)
minecraft.crafted.leather_helmet: #5, 8(7%)
minecraft.dropped.birch_stairs: #4, 2(2%)
minecraft.crafted.stripped_dark_oak_wood: #4, 15(1%)
minecraft.mined.brown_glazed_terracotta: #4, 12(1%)
minecraft.crafted.brown_carpet: #5, 240(6%)
minecraft.crafted.brown_bed: #4, 1(3%)
minecraft.picked_up.netherite_block: #4, 6(1%)
minecraft.crafted.stripped_mangrove_wood: #4, 12(2%)
minecraft.picked_up.stripped_warped_stem: #5, 744(4%)
minecraft.used.basalt: #6, 6010(7%)
minecraft.mined.wall_torch: #6, 628(6%)
minecraft.used.bamboo_button: #4, 1(1%)
minecraft.used.light_gray_glazed_terracotta: #4, 13(1%)
minecraft.mined.clay: #5, 4500(4%)
minecraft.used.white_bed: #6, 218(7%)
minecraft.dropped.bricks: #5, 190(8%)
minecraft.dropped.charcoal: #5, 43(7%)
minecraft.used.prismarine_slab: #4, 11(1%)
minecraft.crafted.blast_furnace: #5, 43(5%)
minecraft.dropped.polished_blackstone_stairs: #4, 4(0%)
minecraft.mined.mangrove_door: #5, 5(9%)
