stat, rank, value, (percentage) 
minecraft.mined.iron_block: #3, 2814(10%)
minecraft.crafted.gray_bed: #2, 10(20%)
minecraft.crafted.oak_stairs: #3, 516(11%)
minecraft.mined.light_blue_stained_glass: #2, 119(12%)
minecraft.used.golden_boots: #2, 5(23%)
minecraft.crafted.gray_shulker_box: #3, 27(12%)
minecraft.crafted.black_bed: #2, 5(13%)
minecraft.dropped.dark_oak_slab: #2, 372(10%)
minecraft.dropped.dark_oak_sign: #3, 48(13%)
minecraft.mined.quartz_bricks: #3, 61(12%)
minecraft.used.purple_wool: #2, 548(10%)
minecraft.mined.flowering_azalea_leaves: #3, 2698(10%)
minecraft.dropped.damaged_anvil: #2, 3(19%)
minecraft.mined.infested_mossy_stone_bricks: #2, 3(30%)
minecraft.killed_by.phantom: #2, 2(17%)
minecraft.used.spruce_wood: #3, 2154(12%)
minecraft.picked_up.exposed_cut_copper_stairs: #2, 87(14%)
minecraft.crafted.dark_oak_slab: #3, 4380(8%)
minecraft.picked_up.dark_oak_trapdoor: #3, 394(8%)
minecraft.used.light_blue_concrete_powder: #3, 512(13%)
minecraft.mined.damaged_anvil: #3, 20(10%)
minecraft.used.acacia_pressure_plate: #2, 5(20%)
minecraft.picked_up.compass: #3, 281(7%)
minecraft.mined.dark_oak_pressure_plate: #2, 3(23%)
minecraft.mined.mossy_stone_bricks: #3, 180(10%)
minecraft.dropped.compass: #3, 250(8%)
minecraft.mined.mangrove_slab: #3, 118(11%)
minecraft.used.damaged_anvil: #3, 18(11%)
minecraft.custom.sprint_one_cm: #4, 180274749(6%)
minecraft.dropped.purpur_stairs: #3, 20(17%)
minecraft.dropped.pumpkin: #2, 1160(7%)
minecraft.mined.pink_wool: #2, 167(10%)
minecraft.picked_up.mangrove_fence_gate: #2, 4(27%)
minecraft.used.crimson_button: #2, 8(17%)
minecraft.dropped.rabbit_hide: #3, 12(18%)
minecraft.dropped.pitcher_pod: #2, 263(19%)
minecraft.crafted.spruce_wood: #3, 2163(11%)
minecraft.used.light_blue_dye: #3, 17(15%)
minecraft.dropped.spruce_fence: #3, 75(12%)
minecraft.used.snowball: #4, 752(10%)
minecraft.dropped.crimson_sign: #2, 5(22%)
minecraft.mined.birch_sapling: #3, 51(10%)
