stat, rank, value, (percentage) 
minecraft.picked_up.verdant_froglight: #2, 394(16%)
minecraft.crafted.firework_rocket: #3, 187829(15%)
minecraft.picked_up.cauldron: #2, 104(14%)
minecraft.mined.comparator: #2, 287(12%)
minecraft.crafted.magenta_stained_glass_pane: #2, 176(34%)
minecraft.picked_up.blackstone_wall: #2, 195(26%)
minecraft.used.smooth_stone_slab: #3, 3923(16%)
minecraft.crafted.birch_planks: #2, 28584(9%)
minecraft.used.purple_stained_glass_pane: #2, 1162(28%)
minecraft.picked_up.orange_terracotta: #3, 11590(17%)
minecraft.picked_up.writable_book: #2, 34(11%)
minecraft.dropped.raw_gold_block: #1, 45(34%)
minecraft.used.piston: #3, 2440(15%)
minecraft.dropped.furnace: #2, 48(15%)
minecraft.crafted.netherite_boots: #2, 12(23%)
minecraft.crafted.waxed_cut_copper_slab: #1, 136(29%)
minecraft.picked_up.spruce_chest_boat: #1, 5(25%)
minecraft.dropped.tall_grass: #1, 4(50%)
minecraft.crafted.birch_chest_boat: #1, 3(50%)
minecraft.used.birch_chest_boat: #1, 4(67%)
minecraft.used.minecart: #2, 310(12%)
minecraft.mined.deepslate_tile_slab: #2, 247(13%)
minecraft.dropped.repeater: #2, 186(19%)
minecraft.dropped.deepslate_tile_stairs: #2, 74(23%)
minecraft.used.smithing_table: #3, 454(16%)
minecraft.killed.ghast: #3, 211(15%)
minecraft.used.waxed_oxidized_cut_copper: #1, 271(38%)
minecraft.crafted.lime_concrete: #1, 280(38%)
minecraft.killed.blaze: #2, 2050(12%)
minecraft.mined.potted_bamboo: #1, 3(38%)
minecraft.killed.magma_cube: #3, 1694(14%)
minecraft.mined.purpur_slab: #2, 56(16%)
minecraft.mined.lightning_rod: #2, 131(13%)
minecraft.crafted.yellow_shulker_box: #2, 36(14%)
minecraft.crafted.cyan_dye: #2, 4590(11%)
minecraft.mined.smooth_stone_slab: #3, 444(15%)
minecraft.mined.light_gray_banner: #1, 3(60%)
minecraft.picked_up.diamond_horse_armor: #2, 14(22%)
minecraft.mined.orange_glazed_terracotta: #2, 37(35%)
minecraft.dropped.terracotta: #2, 342(13%)
minecraft.crafted.yellow_carpet: #3, 3409(21%)
minecraft.crafted.diamond: #3, 4581(13%)
minecraft.mined.smooth_basalt: #2, 2200(11%)
minecraft.mined.dropper: #2, 294(10%)
minecraft.crafted.yellow_glazed_terracotta: #2, 648(30%)
minecraft.dropped.black_bed: #1, 3(43%)
minecraft.broken.iron_axe: #2, 13(14%)
minecraft.dropped.black_banner: #2, 26(34%)
minecraft.picked_up.acacia_stairs: #2, 36(30%)
minecraft.picked_up.smooth_basalt: #2, 2369(11%)
minecraft.killed.piglin: #3, 340(14%)
minecraft.dropped.polished_andesite_stairs: #2, 56(18%)
minecraft.mined.dark_oak_wall_hanging_sign: #1, 6(55%)
minecraft.picked_up.purpur_slab: #2, 54(15%)
minecraft.crafted.stone_hoe: #2, 13(13%)
minecraft.used.soul_lantern: #2, 280(11%)
minecraft.crafted.chest: #3, 7983(10%)
minecraft.used.deepslate_brick_stairs: #3, 2713(15%)
minecraft.used.raw_gold_block: #2, 652(17%)
minecraft.used.spruce_sign: #3, 300(11%)
minecraft.broken.bow: #1, 2(40%)
minecraft.crafted.skull_banner_pattern: #1, 2(40%)
minecraft.picked_up.birch_chest_boat: #1, 4(80%)
minecraft.mined.dark_oak_fence: #2, 245(11%)
minecraft.crafted.chiseled_polished_blackstone: #2, 66(19%)
minecraft.picked_up.stone_hoe: #2, 9(16%)
minecraft.picked_up.bowl: #2, 50(13%)
minecraft.dropped.sculk_sensor: #2, 72(36%)
minecraft.used.polished_deepslate: #3, 8985(13%)
minecraft.crafted.warped_fence: #2, 303(15%)
minecraft.dropped.wither_rose: #2, 709(28%)
minecraft.picked_up.deepslate_tile_stairs: #3, 574(16%)
minecraft.used.cracked_polished_blackstone_bricks: #2, 1133(18%)
minecraft.picked_up.music_disc_13: #3, 81(15%)
minecraft.mined.dark_oak_button: #2, 28(19%)
minecraft.picked_up.dropper: #2, 372(9%)
minecraft.used.stone_axe: #2, 742(9%)
minecraft.crafted.quartz_stairs: #2, 156(15%)
minecraft.mined.polished_diorite: #2, 371(12%)
minecraft.crafted.cyan_terracotta: #3, 8728(14%)
