stat, rank, value, (percentage) 
minecraft.picked_up.orange_stained_glass: #9, 64(2%)
minecraft.crafted.cooked_porkchop: #9, 16(1%)
minecraft.crafted.light_gray_bed: #9, 1(3%)
minecraft.used.birch_slab: #9, 75(2%)
minecraft.dropped.azalea_leaves: #9, 64(2%)
minecraft.picked_up.crimson_roots: #9, 616(1%)
minecraft.used.tuff: #10, 1981(4%)
minecraft.mined.mossy_stone_brick_stairs: #9, 2(2%)
minecraft.picked_up.black_wool: #9, 229(1%)
minecraft.dropped.carrot_on_a_stick: #9, 1(3%)
minecraft.used.deepslate_tile_wall: #9, 116(1%)
minecraft.picked_up.mossy_stone_brick_slab: #9, 3(1%)
minecraft.mined.small_amethyst_bud: #9, 65(1%)
minecraft.used.green_terracotta: #9, 426(1%)
minecraft.mined.jungle_fence: #9, 2(2%)
minecraft.crafted.dripstone_block: #9, 128(1%)
minecraft.crafted.cooked_salmon: #9, 9(1%)
minecraft.crafted.black_dye: #10, 4716(4%)
minecraft.mined.purple_stained_glass: #9, 14(1%)
minecraft.crafted.dark_prismarine_stairs: #9, 4(1%)
minecraft.mined.quartz_block: #9, 52(0%)
minecraft.dropped.birch_fence: #9, 2(0%)
minecraft.used.green_stained_glass: #9, 32(0%)
minecraft.used.light_blue_terracotta: #9, 64(0%)
minecraft.picked_up.oak_log: #10, 4635(3%)
minecraft.mined.light_blue_terracotta: #9, 18(0%)
minecraft.crafted.stripped_spruce_wood: #9, 6(0%)
minecraft.picked_up.jungle_fence: #9, 2(1%)
minecraft.mined.green_carpet: #9, 4(0%)
minecraft.crafted.mangrove_pressure_plate: #9, 1(0%)
minecraft.dropped.melon_slice: #9, 10(0%)
minecraft.used.magma_block: #10, 1109(4%)
minecraft.used.elytra: #10, 34(3%)
minecraft.used.brewing_stand: #10, 19(4%)
minecraft.used.minecart: #10, 95(4%)
minecraft.mined.ladder: #10, 60(3%)
minecraft.crafted.dark_oak_planks: #10, 10012(3%)
minecraft.crafted.spruce_door: #10, 21(3%)
