stat, rank, value, (percentage) 
minecraft.crafted.bamboo_fence_gate: #1, 20(77%)
minecraft.used.dead_fire_coral_block: #1, 856(77%)
minecraft.crafted.redstone_torch: #2, 11782(14%)
minecraft.crafted.decorated_pot: #2, 167(27%)
minecraft.picked_up.oxidized_copper: #2, 5195(16%)
minecraft.crafted.dropper: #2, 1543(16%)
minecraft.killed_by.warden: #1, 34(13%)
minecraft.mined.blue_orchid: #1, 173(23%)
minecraft.used.lapis_ore: #1, 129(17%)
minecraft.mined.spruce_leaves: #3, 18539(16%)
minecraft.crafted.leather_chestplate: #2, 218(22%)
minecraft.picked_up.mangrove_slab: #2, 331(18%)
minecraft.crafted.glow_item_frame: #2, 299(19%)
minecraft.used.polished_granite: #2, 2640(22%)
minecraft.mined.grass: #2, 8820(11%)
minecraft.mined.oak_sign: #1, 27(12%)
minecraft.picked_up.grindstone: #2, 171(16%)
minecraft.crafted.smooth_quartz_slab: #2, 2006(23%)
minecraft.crafted.spruce_pressure_plate: #2, 122(20%)
minecraft.used.spruce_fence_gate: #2, 484(17%)
minecraft.used.stripped_birch_log: #2, 1207(20%)
minecraft.mined.moss_block: #2, 18250(11%)
minecraft.mined.smooth_stone_slab: #2, 454(16%)
minecraft.picked_up.warped_sign: #2, 105(19%)
minecraft.picked_up.spore_blossom: #2, 97(15%)
minecraft.picked_up.stripped_bamboo_block: #1, 85(29%)
minecraft.used.white_tulip: #1, 38(48%)
minecraft.mined.white_stained_glass_pane: #2, 133(21%)
minecraft.mined.stripped_bamboo_block: #1, 84(28%)
minecraft.dropped.birch_sign: #2, 125(17%)
minecraft.mined.polished_granite_stairs: #1, 95(57%)
minecraft.crafted.red_stained_glass: #2, 4264(19%)
minecraft.used.mangrove_hanging_sign: #1, 45(94%)
minecraft.picked_up.chain: #2, 653(13%)
minecraft.used.sandstone: #2, 6218(16%)
minecraft.picked_up.dark_oak_stairs: #2, 595(14%)
minecraft.custom.open_shulker_box: #2, 89686(8%)
minecraft.mined.tall_grass: #2, 1993(11%)
minecraft.mined.dandelion: #1, 437(10%)
minecraft.used.polished_blackstone_button: #2, 518(20%)
minecraft.picked_up.polished_deepslate: #2, 1998(14%)
minecraft.picked_up.moss_carpet: #2, 5395(11%)
minecraft.picked_up.dirt: #2, 117001(10%)
minecraft.killed_by.ravager: #1, 121(9%)
minecraft.crafted.wooden_sword: #2, 372(19%)
minecraft.killed.squid: #2, 1073(14%)
minecraft.mined.smooth_quartz_stairs: #2, 174(15%)
minecraft.crafted.leather_leggings: #2, 146(19%)
minecraft.crafted.gray_terracotta: #1, 3236(16%)
minecraft.used.stone_brick_wall: #2, 1341(16%)
minecraft.used.light_gray_concrete: #2, 4329(18%)
minecraft.dropped.hanging_roots: #1, 79(38%)
minecraft.crafted.repeater: #2, 2401(14%)
minecraft.crafted.polished_andesite_slab: #3, 1482(22%)
minecraft.crafted.jungle_hanging_sign: #1, 54(53%)
minecraft.picked_up.red_nether_brick_wall: #1, 45(88%)
minecraft.picked_up.birch_stairs: #2, 139(19%)
minecraft.mined.acacia_wood: #2, 90(20%)
minecraft.used.andesite_slab: #2, 1778(18%)
minecraft.picked_up.brick_slab: #2, 401(20%)
minecraft.picked_up.horn_coral_block: #2, 1013(24%)
minecraft.crafted.smooth_sandstone_stairs: #2, 209(40%)
minecraft.crafted.oxidized_cut_copper_slab: #2, 596(26%)
minecraft.used.smooth_stone: #3, 4821(18%)
minecraft.picked_up.smooth_stone_slab: #2, 607(15%)
minecraft.dropped.waxed_copper_block: #1, 31(86%)
minecraft.mined.white_tulip: #2, 40(36%)
minecraft.mined.smooth_quartz: #2, 679(14%)
minecraft.custom.sprint_one_cm: #2, 191820264(7%)
minecraft.mined.orange_bed: #2, 117(25%)
minecraft.dropped.diorite_wall: #1, 229(37%)
minecraft.picked_up.andesite_slab: #2, 243(19%)
minecraft.crafted.dark_oak_stairs: #2, 1644(12%)
minecraft.crafted.stripped_jungle_wood: #1, 333(51%)
minecraft.picked_up.jungle_hanging_sign: #1, 12(63%)
minecraft.picked_up.moss_block: #3, 20280(13%)
minecraft.used.quartz_stairs: #2, 697(20%)
minecraft.mined.birch_door: #1, 7(50%)
minecraft.picked_up.birch_door: #2, 41(44%)
minecraft.picked_up.cherry_leaves: #2, 4943(20%)
minecraft.crafted.oxidized_cut_copper: #2, 556(23%)
minecraft.dropped.oak_pressure_plate: #1, 7(30%)
minecraft.crafted.dark_oak_slab: #2, 6142(12%)
minecraft.killed.cow: #2, 802(12%)
minecraft.mined.brick_slab: #2, 284(20%)
minecraft.picked_up.shulker_box: #2, 7883(10%)
minecraft.dropped.daylight_detector: #1, 8(80%)
minecraft.dropped.acacia_stairs: #1, 9(60%)
minecraft.killed_by.evoker: #1, 3(30%)
minecraft.crafted.cherry_fence_gate: #1, 6(60%)
minecraft.picked_up.smooth_sandstone: #2, 2071(17%)
minecraft.picked_up.snow: #3, 8214(15%)
minecraft.mined.birch_hanging_sign: #1, 15(79%)
minecraft.killed_by.vex: #1, 20(10%)
minecraft.crafted.lantern: #2, 1456(11%)
minecraft.used.cherry_leaves: #2, 1967(26%)
minecraft.picked_up.mud_brick_wall: #1, 36(20%)
minecraft.used.shulker_box: #2, 7543(10%)
minecraft.picked_up.raw_copper: #3, 37680(14%)
minecraft.dropped.mossy_cobblestone: #2, 226(15%)
minecraft.picked_up.diamond: #2, 3653(10%)
minecraft.dropped.carved_pumpkin: #3, 316(12%)
minecraft.crafted.white_terracotta: #2, 2128(18%)
minecraft.crafted.dispenser: #2, 946(14%)
minecraft.mined.horn_coral_block: #2, 1053(24%)
minecraft.used.painting: #2, 286(14%)
minecraft.dropped.oak_log: #2, 1693(12%)
minecraft.picked_up.diamond_chestplate: #2, 42(14%)
minecraft.crafted.light_gray_stained_glass: #2, 10776(18%)
minecraft.used.jungle_stairs: #2, 353(33%)
minecraft.crafted.cherry_sign: #1, 33(38%)
minecraft.crafted.bamboo_stairs: #1, 20(45%)
minecraft.used.pink_shulker_box: #2, 302(14%)
minecraft.used.polished_diorite_stairs: #2, 361(30%)
minecraft.mined.shulker_box: #2, 7454(10%)
minecraft.crafted.pink_shulker_box: #2, 29(15%)
minecraft.dropped.pink_candle: #1, 64(55%)
minecraft.crafted.experience_bottle: #2, 16350(23%)
minecraft.picked_up.spruce_fence_gate: #2, 194(15%)
minecraft.crafted.oxidized_cut_copper_stairs: #2, 210(20%)
minecraft.picked_up.white_candle: #2, 64(29%)
