stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_trapdoor: #26, 9(0%)
minecraft.mined.dirt_path: #26, 12(0%)
minecraft.crafted.flint_and_steel: #26, 1(0%)
minecraft.used.brewing_stand: #26, 1(0%)
minecraft.picked_up.spruce_trapdoor: #26, 12(0%)
minecraft.picked_up.dark_oak_log: #26, 291(0%)
minecraft.mined.flowering_azalea: #26, 3(0%)
minecraft.picked_up.ender_pearl: #26, 340(0%)
minecraft.used.shulker_box: #26, 77(0%)
minecraft.mined.shulker_box: #26, 78(0%)
minecraft.mined.redstone_wire: #26, 18(0%)
minecraft.picked_up.shulker_box: #26, 77(0%)
minecraft.picked_up.spruce_fence: #26, 6(0%)
minecraft.crafted.rail: #26, 32(0%)
minecraft.used.cooked_beef: #26, 8(0%)
minecraft.used.bookshelf: #26, 15(0%)
minecraft.used.spruce_fence: #26, 12(0%)
minecraft.used.spruce_log: #26, 25(0%)
minecraft.crafted.spruce_fence: #26, 12(0%)
minecraft.mined.oak_slab: #26, 1(0%)
minecraft.mined.glass: #26, 9(0%)
minecraft.custom.mob_kills: #26, 3977(0%)
minecraft.crafted.bucket: #26, 3(0%)
minecraft.picked_up.flower_pot: #26, 1(0%)
minecraft.picked_up.dark_oak_sapling: #26, 7(0%)
minecraft.crafted.brick: #26, 40(0%)
minecraft.mined.rail: #26, 10(0%)
minecraft.crafted.piston: #26, 6(0%)
minecraft.crafted.blue_dye: #26, 11(0%)
minecraft.used.smooth_quartz: #26, 5(0%)
minecraft.crafted.minecart: #26, 1(0%)
minecraft.killed.squid: #26, 1(0%)
minecraft.picked_up.spider_eye: #26, 7(0%)
minecraft.mined.carved_pumpkin: #26, 2(0%)
minecraft.mined.clay: #26, 10(0%)
minecraft.dropped.cooked_porkchop: #26, 4(0%)
minecraft.picked_up.glowstone: #26, 1(0%)
minecraft.used.powered_rail: #26, 3(0%)
minecraft.used.sand: #26, 19(0%)
minecraft.crafted.red_dye: #26, 3(0%)
minecraft.mined.blackstone: #26, 2(0%)
minecraft.custom.interact_with_furnace: #27, 277(1%)
minecraft.mined.wall_torch: #27, 54(1%)
minecraft.used.torch: #27, 890(0%)
minecraft.mined.iron_ore: #27, 273(0%)
minecraft.custom.interact_with_lectern: #27, 40(0%)
minecraft.used.furnace: #27, 20(0%)
minecraft.custom.jump: #27, 24988(0%)
minecraft.custom.sprint_one_cm: #27, 7458663(0%)
minecraft.mined.deepslate_lapis_ore: #27, 26(0%)
minecraft.picked_up.lapis_lazuli: #27, 381(0%)
minecraft.custom.walk_under_water_one_cm: #27, 594097(0%)
minecraft.mined.deepslate_gold_ore: #27, 71(0%)
minecraft.custom.open_chest: #27, 2074(0%)
minecraft.custom.sleep_in_bed: #27, 103(0%)
minecraft.custom.open_shulker_box: #27, 2332(0%)
minecraft.picked_up.torch: #27, 272(0%)
minecraft.picked_up.tuff: #27, 433(0%)
minecraft.mined.tuff: #27, 435(0%)
minecraft.custom.interact_with_anvil: #27, 27(0%)
minecraft.used.cobblestone: #27, 191(0%)
minecraft.used.diamond_pickaxe: #27, 12421(0%)
minecraft.mined.cave_vines: #27, 5(0%)
minecraft.used.tuff: #27, 95(0%)
minecraft.used.diamond_axe: #27, 2038(0%)
minecraft.crafted.dark_oak_planks: #27, 648(0%)
minecraft.mined.gravel: #27, 805(0%)
minecraft.custom.swim_one_cm: #27, 168576(0%)
minecraft.picked_up.obsidian: #27, 81(0%)
minecraft.crafted.oak_slab: #27, 48(0%)
minecraft.picked_up.grass_block: #27, 937(0%)
minecraft.mined.obsidian: #27, 85(0%)
minecraft.mined.redstone_wall_torch: #27, 2(0%)
minecraft.picked_up.lever: #27, 5(0%)
minecraft.used.grass_block: #27, 536(0%)
minecraft.picked_up.leather: #27, 19(0%)
minecraft.used.flower_pot: #27, 2(0%)
minecraft.dropped.cobbled_deepslate: #27, 38(0%)
minecraft.used.water_bucket: #27, 51(0%)
minecraft.mined.sticky_piston: #27, 3(0%)
minecraft.mined.ladder: #27, 1(0%)
minecraft.used.bone_meal: #27, 148(0%)
minecraft.crafted.anvil: #27, 2(0%)
minecraft.crafted.blaze_powder: #27, 4(0%)
minecraft.mined.black_shulker_box: #27, 2(0%)
minecraft.used.netherrack: #27, 68(0%)
minecraft.picked_up.black_shulker_box: #27, 2(0%)
minecraft.picked_up.flowering_azalea: #27, 3(0%)
minecraft.used.sticky_piston: #27, 6(0%)
minecraft.picked_up.oak_slab: #27, 1(0%)
minecraft.dropped.stick: #27, 24(0%)
minecraft.picked_up.rail: #27, 12(0%)
minecraft.used.rail: #27, 12(0%)
minecraft.crafted.white_dye: #27, 17(0%)
minecraft.picked_up.basalt: #27, 33(0%)
minecraft.picked_up.glass: #27, 9(0%)
minecraft.picked_up.paper: #27, 6(0%)
minecraft.picked_up.deepslate_redstone_ore: #27, 1(0%)
minecraft.crafted.bone_meal: #27, 189(0%)
minecraft.picked_up.deepslate_diamond_ore: #27, 1(0%)
minecraft.used.deepslate_diamond_ore: #27, 1(0%)
minecraft.crafted.gold_ingot: #27, 24(0%)
minecraft.picked_up.blackstone: #27, 2(0%)
minecraft.picked_up.packed_ice: #27, 3(0%)
