stat, rank, value, (percentage) 
minecraft.crafted.spruce_planks: #1, 74802(13%)
minecraft.used.music_disc_chirp: #1, 38(54%)
minecraft.dropped.crimson_fence: #1, 228(85%)
minecraft.mined.warped_hanging_sign: #1, 14(61%)
minecraft.picked_up.deepslate_bricks: #2, 4008(18%)
minecraft.dropped.deepslate_tile_wall: #1, 43(53%)
minecraft.dropped.polished_blackstone_wall: #1, 283(71%)
minecraft.crafted.diamond_shovel: #2, 54(17%)
minecraft.dropped.shulker_shell: #1, 960(30%)
minecraft.picked_up.chiseled_deepslate: #1, 298(30%)
minecraft.mined.orange_wool: #1, 435(21%)
minecraft.picked_up.sticky_piston: #2, 1053(19%)
minecraft.used.polished_blackstone_brick_slab: #1, 3244(47%)
minecraft.picked_up.yellow_bed: #2, 205(25%)
minecraft.picked_up.chiseled_nether_bricks: #1, 16(70%)
minecraft.dropped.blackstone_slab: #1, 66(69%)
minecraft.mined.polished_blackstone_brick_slab: #1, 259(42%)
minecraft.crafted.calibrated_sculk_sensor: #1, 111(52%)
minecraft.mined.polished_blackstone_brick_stairs: #2, 1164(32%)
minecraft.dropped.gray_carpet: #1, 269(28%)
minecraft.picked_up.yellow_wool: #1, 1248(18%)
minecraft.dropped.kelp: #2, 2205(21%)
minecraft.mined.lever: #2, 279(18%)
minecraft.used.soul_sand: #2, 5595(20%)
minecraft.crafted.polished_blackstone_brick_wall: #1, 79(41%)
minecraft.dropped.redstone_ore: #1, 29(45%)
minecraft.crafted.heavy_weighted_pressure_plate: #2, 1123(25%)
minecraft.dropped.sculk_sensor: #1, 115(58%)
minecraft.dropped.snow: #2, 2332(19%)
minecraft.picked_up.blue_stained_glass_pane: #1, 59(31%)
minecraft.used.light_blue_wool: #2, 2616(22%)
minecraft.crafted.snow: #1, 8620(22%)
minecraft.mined.chiseled_nether_bricks: #1, 16(80%)
minecraft.dropped.hopper: #1, 224(24%)
minecraft.used.mossy_cobblestone_slab: #2, 768(24%)
minecraft.killed.enderman: #1, 115439(12%)
minecraft.picked_up.soul_sand: #2, 10351(18%)
minecraft.picked_up.polished_blackstone_wall: #1, 483(30%)
minecraft.mined.azure_bluet: #2, 150(18%)
minecraft.mined.deepslate_brick_stairs: #2, 736(21%)
minecraft.picked_up.sculk_vein: #2, 4314(29%)
minecraft.mined.yellow_bed: #2, 191(24%)
minecraft.dropped.lever: #1, 81(19%)
minecraft.dropped.redstone: #1, 2080(15%)
minecraft.dropped.nether_star: #1, 146(96%)
minecraft.dropped.sugar: #1, 1410(23%)
minecraft.mined.nether_brick_slab: #1, 204(55%)
minecraft.dropped.redstone_lamp: #1, 66(38%)
minecraft.dropped.wheat_seeds: #2, 11460(15%)
minecraft.dropped.quartz_stairs: #1, 76(95%)
minecraft.picked_up.polished_blackstone_pressure_plate: #1, 127(54%)
minecraft.used.warped_sign: #1, 297(18%)
minecraft.picked_up.music_disc_13: #1, 88(16%)
minecraft.mined.sculk_vein: #2, 5061(31%)
minecraft.dropped.cobbled_deepslate_wall: #1, 221(53%)
minecraft.crafted.iron_block: #2, 24014(16%)
minecraft.mined.chiseled_deepslate: #1, 89(31%)
minecraft.crafted.ender_chest: #2, 184(17%)
minecraft.crafted.furnace: #1, 433(10%)
minecraft.crafted.magenta_stained_glass_pane: #1, 208(41%)
minecraft.dropped.raw_iron: #2, 388(18%)
minecraft.mined.light_blue_wool: #2, 490(24%)
minecraft.used.deepslate_tiles: #1, 9127(13%)
minecraft.mined.dark_oak_sign: #1, 15(22%)
minecraft.used.music_disc_stal: #1, 93(89%)
minecraft.dropped.target: #1, 25(60%)
minecraft.dropped.diamond_pickaxe: #2, 51(12%)
minecraft.dropped.torch: #2, 1693(14%)
minecraft.picked_up.polished_basalt: #2, 1625(20%)
minecraft.mined.cyan_candle: #1, 32(89%)
minecraft.dropped.stone_slab: #2, 1468(23%)
minecraft.crafted.warped_planks: #2, 21628(17%)
minecraft.dropped.bone_meal: #2, 4554(16%)
minecraft.crafted.blue_banner: #1, 56(59%)
minecraft.dropped.cracked_polished_blackstone_bricks: #2, 620(41%)
minecraft.used.blue_candle: #1, 107(70%)
minecraft.killed.ghast: #2, 241(17%)
minecraft.crafted.stone_shovel: #2, 148(18%)
minecraft.dropped.yellow_carpet: #1, 48(58%)
minecraft.mined.andesite_stairs: #1, 75(19%)
minecraft.mined.composter: #1, 244(14%)
minecraft.custom.climb_one_cm: #3, 9934004(12%)
minecraft.picked_up.hopper_minecart: #2, 1074(23%)
minecraft.crafted.enchanting_table: #1, 11(17%)
minecraft.used.black_shulker_box: #2, 842(16%)
minecraft.dropped.scaffolding: #2, 2589(20%)
minecraft.used.warped_nylium: #2, 821(22%)
minecraft.dropped.dark_oak_door: #1, 85(34%)
minecraft.used.cobbled_deepslate: #2, 15068(14%)
minecraft.mined.stonecutter: #2, 317(16%)
minecraft.used.magma_block: #2, 4920(18%)
minecraft.mined.warped_nylium: #2, 1205(17%)
minecraft.dropped.glow_berries: #2, 155(23%)
minecraft.dropped.carved_pumpkin: #2, 316(12%)
minecraft.dropped.red_bed: #1, 10(28%)
