stat, rank, value, (percentage) 
minecraft.picked_up.cooked_salmon: #2, 80(20%)
minecraft.crafted.cobblestone_wall: #2, 1440(13%)
minecraft.picked_up.suspicious_stew: #2, 14(23%)
minecraft.picked_up.acacia_boat: #2, 23(21%)
minecraft.killed_by.zoglin: #1, 10(43%)
minecraft.crafted.gray_stained_glass_pane: #2, 1264(20%)
minecraft.crafted.gray_carpet: #3, 6952(19%)
minecraft.picked_up.birch_leaves: #2, 10402(11%)
minecraft.dropped.oak_slab: #2, 182(14%)
minecraft.dropped.anvil: #2, 108(21%)
minecraft.crafted.brick: #3, 68314(18%)
minecraft.used.acacia_trapdoor: #2, 1350(16%)
minecraft.crafted.light_gray_shulker_box: #2, 39(16%)
minecraft.used.dark_oak_door: #2, 94(18%)
minecraft.mined.gray_banner: #1, 5(83%)
minecraft.crafted.acacia_slab: #2, 960(16%)
minecraft.crafted.quartz_block: #3, 35374(16%)
minecraft.picked_up.spruce_wood: #2, 89(15%)
minecraft.dropped.diamond_pickaxe: #2, 38(11%)
minecraft.crafted.oak_stairs: #2, 364(11%)
minecraft.mined.granite_stairs: #2, 33(22%)
minecraft.dropped.potato: #3, 1927(18%)
minecraft.picked_up.diamond_sword: #2, 106(10%)
minecraft.used.oak_wood: #2, 8142(16%)
minecraft.dropped.cooked_salmon: #2, 87(32%)
minecraft.mined.cobblestone: #2, 6924(11%)
minecraft.crafted.heavy_weighted_pressure_plate: #2, 105(13%)
minecraft.mined.anvil: #2, 111(11%)
minecraft.dropped.lime_dye: #2, 373(25%)
minecraft.crafted.acacia_door: #2, 81(28%)
minecraft.crafted.bricks: #3, 16731(18%)
minecraft.used.dark_prismarine_slab: #2, 1850(22%)
minecraft.killed.bee: #2, 57(16%)
minecraft.custom.enchant_item: #2, 397(12%)
minecraft.picked_up.brick_stairs: #2, 148(16%)
minecraft.used.music_disc_cat: #2, 31(19%)
minecraft.mined.dark_oak_sign: #2, 7(16%)
minecraft.used.activator_rail: #2, 19(17%)
minecraft.picked_up.brown_bed: #2, 36(15%)
minecraft.crafted.oak_wood: #2, 8189(16%)
minecraft.crafted.brown_shulker_box: #3, 35(19%)
minecraft.picked_up.birch_door: #2, 57(18%)
minecraft.used.red_sandstone_wall: #2, 119(40%)
minecraft.custom.mob_kills: #2, 200963(9%)
minecraft.crafted.golden_carrot: #3, 28492(18%)
minecraft.mined.brown_bed: #2, 36(16%)
minecraft.crafted.black_banner: #2, 159(17%)
minecraft.dropped.gold_ore: #2, 79(13%)
minecraft.used.black_stained_glass_pane: #2, 2237(12%)
minecraft.crafted.white_concrete_powder: #2, 31704(10%)
minecraft.mined.smooth_stone: #3, 4612(14%)
minecraft.crafted.black_stained_glass_pane: #2, 2520(12%)
minecraft.crafted.diamond_chestplate: #2, 11(11%)
minecraft.picked_up.oak_sign: #2, 444(9%)
minecraft.used.map: #2, 71(13%)
minecraft.picked_up.painting: #3, 517(14%)
minecraft.used.snow: #2, 5831(13%)
minecraft.crafted.purple_shulker_box: #2, 9(25%)
minecraft.crafted.dark_oak_door: #2, 93(16%)
minecraft.picked_up.poppy: #3, 6582(13%)
minecraft.picked_up.yellow_concrete_powder: #2, 1928(14%)
minecraft.used.smooth_quartz_stairs: #3, 2992(15%)
minecraft.crafted.mossy_cobblestone_stairs: #2, 28(20%)
minecraft.used.red_concrete: #3, 4919(15%)
minecraft.mined.barrel: #2, 360(9%)
minecraft.dropped.stripped_oak_log: #2, 33(18%)
minecraft.used.red_sandstone: #2, 61(22%)
minecraft.picked_up.granite_stairs: #2, 26(17%)
minecraft.mined.quartz_stairs: #2, 906(11%)
minecraft.mined.white_wool: #3, 600(14%)
minecraft.mined.smooth_quartz_stairs: #3, 704(15%)
minecraft.mined.oak_door: #2, 14(14%)
minecraft.dropped.jungle_button: #2, 12(17%)
minecraft.dropped.magenta_stained_glass: #2, 19(16%)
minecraft.crafted.dried_kelp: #3, 4733(19%)
minecraft.used.polished_andesite_stairs: #3, 2632(16%)
minecraft.dropped.redstone_ore: #3, 238(18%)
minecraft.picked_up.melon_seeds: #3, 130(14%)
minecraft.picked_up.mossy_stone_brick_stairs: #2, 20(40%)
minecraft.used.beetroot: #1, 16(100%)
minecraft.dropped.golden_hoe: #1, 1(100%)
minecraft.dropped.chest_minecart: #1, 1(100%)
minecraft.dropped.smooth_red_sandstone_stairs: #1, 4(100%)
minecraft.dropped.mossy_stone_brick_stairs: #1, 9(100%)
minecraft.mined.pink_banner: #1, 2(100%)
minecraft.crafted.elytra: #1, 1(100%)
minecraft.mined.polished_diorite: #3, 682(15%)
minecraft.used.fern: #3, 762(17%)
minecraft.crafted.oak_button: #3, 191(15%)
minecraft.crafted.yellow_bed: #2, 7(22%)
minecraft.dropped.lava_bucket: #2, 20(22%)
minecraft.used.acacia_button: #2, 32(20%)
minecraft.picked_up.quartz_stairs: #2, 759(9%)
minecraft.used.acacia_leaves: #2, 550(19%)
minecraft.used.red_nether_brick_wall: #2, 194(27%)
minecraft.used.netherite_sword: #2, 60166(9%)
minecraft.mined.mossy_cobblestone_stairs: #2, 12(17%)
minecraft.mined.cocoa: #3, 1049(15%)
minecraft.used.glass_pane: #3, 1021(13%)
minecraft.picked_up.polished_diorite: #3, 680(14%)
minecraft.crafted.red_wool: #3, 434(17%)
minecraft.used.polished_granite: #2, 1009(9%)
minecraft.mined.dark_oak_door: #2, 31(16%)
minecraft.picked_up.spruce_leaves: #2, 11271(9%)
minecraft.crafted.orange_banner: #2, 37(31%)
minecraft.used.stone: #3, 96564(10%)
minecraft.crafted.pumpkin_pie: #2, 2344(11%)
minecraft.mined.potted_cactus: #2, 8(18%)
minecraft.picked_up.light_gray_concrete_powder: #2, 3152(9%)
minecraft.crafted.stone_stairs: #3, 972(15%)
minecraft.crafted.quartz_bricks: #2, 1564(14%)
minecraft.dropped.ladder: #3, 169(15%)
minecraft.picked_up.birch_slab: #2, 417(8%)
minecraft.picked_up.hay_block: #3, 528(13%)
minecraft.mined.dark_prismarine_stairs: #2, 84(22%)
minecraft.crafted.chiseled_stone_bricks: #3, 2160(20%)
minecraft.picked_up.anvil: #3, 251(12%)
minecraft.mined.light_gray_banner: #2, 7(29%)
minecraft.picked_up.cooked_chicken: #3, 371(12%)
minecraft.mined.birch_slab: #2, 389(8%)
minecraft.picked_up.white_concrete: #3, 14040(11%)
minecraft.dropped.spruce_wood: #2, 11(24%)
minecraft.mined.gravel: #3, 96220(11%)
minecraft.custom.open_barrel: #3, 19364(10%)
minecraft.crafted.cauldron: #3, 239(13%)
minecraft.dropped.acacia_planks: #3, 108(16%)
minecraft.mined.blue_orchid: #3, 108(14%)
minecraft.used.black_glazed_terracotta: #2, 204(18%)
minecraft.mined.purple_bed: #3, 52(17%)
minecraft.picked_up.blue_banner: #2, 8(23%)
minecraft.picked_up.oak_stairs: #3, 281(11%)
minecraft.picked_up.red_sandstone_stairs: #2, 63(32%)
minecraft.crafted.blue_banner: #2, 10(23%)
minecraft.crafted.mossy_stone_brick_slab: #2, 60(23%)
minecraft.used.cookie: #3, 26(12%)
minecraft.used.heavy_weighted_pressure_plate: #2, 49(8%)
minecraft.dropped.carrot: #3, 8490(12%)
minecraft.mined.composter: #3, 112(12%)
minecraft.crafted.cyan_glazed_terracotta: #2, 24(26%)
minecraft.mined.coarse_dirt: #3, 3234(11%)
minecraft.mined.smooth_quartz_slab: #3, 1108(13%)
minecraft.crafted.nether_brick_slab: #3, 1458(13%)
minecraft.mined.gray_wall_banner: #2, 8(38%)
minecraft.dropped.prismarine_wall: #2, 16(38%)
minecraft.picked_up.lime_concrete_powder: #2, 1552(13%)
minecraft.used.smooth_quartz_slab: #3, 5782(13%)
minecraft.crafted.red_terracotta: #3, 3031(19%)
minecraft.used.spruce_planks: #3, 6900(11%)
minecraft.picked_up.smooth_quartz_stairs: #3, 663(12%)
minecraft.crafted.iron_trapdoor: #3, 3327(11%)
minecraft.mined.potted_spruce_sapling: #2, 3(25%)
minecraft.crafted.nether_brick_fence: #3, 510(21%)
minecraft.mined.quartz_slab: #3, 407(12%)
minecraft.used.painting: #3, 436(11%)
minecraft.mined.lilac: #3, 26(14%)
minecraft.picked_up.andesite_wall: #2, 295(9%)
minecraft.crafted.pink_banner: #2, 13(25%)
minecraft.dropped.quartz_stairs: #2, 24(18%)
minecraft.crafted.yellow_wool: #2, 131(10%)
minecraft.crafted.orange_shulker_box: #3, 41(16%)
minecraft.crafted.spruce_stairs: #3, 1444(11%)
minecraft.mined.soul_fire: #3, 155(11%)
minecraft.crafted.red_nether_brick_wall: #2, 216(28%)
minecraft.used.smooth_red_sandstone_stairs: #2, 93(16%)
minecraft.broken.golden_shovel: #3, 17(17%)
minecraft.used.nether_brick_fence: #3, 308(16%)
minecraft.crafted.glistering_melon_slice: #2, 1974(11%)
minecraft.picked_up.iron_bars: #3, 1122(10%)
minecraft.dropped.white_concrete_powder: #2, 945(11%)
minecraft.used.pumpkin_seeds: #3, 221(11%)
minecraft.crafted.sandstone_wall: #2, 708(9%)
minecraft.picked_up.golden_apple: #3, 72(12%)
minecraft.picked_up.barrel: #3, 461(10%)
minecraft.dropped.cooked_rabbit: #2, 10(27%)
minecraft.crafted.composter: #3, 311(10%)
minecraft.used.sea_lantern: #3, 6261(10%)
minecraft.broken.netherite_pickaxe: #2, 2(33%)
minecraft.dropped.light_blue_bed: #2, 3(19%)
minecraft.picked_up.purple_bed: #3, 54(17%)
minecraft.used.melon: #3, 270(14%)
minecraft.custom.sleep_in_bed: #3, 3278(9%)
minecraft.crafted.smooth_red_sandstone_stairs: #2, 95(22%)
minecraft.dropped.wheat_seeds: #3, 10447(10%)
minecraft.used.black_banner: #3, 141(16%)
minecraft.dropped.gold_ingot: #3, 515(10%)
minecraft.mined.chiseled_quartz_block: #3, 190(13%)
minecraft.crafted.lever: #3, 513(9%)
minecraft.crafted.emerald: #4, 106793(14%)
minecraft.dropped.acacia_slab: #2, 43(15%)
minecraft.crafted.blue_shulker_box: #3, 13(17%)
minecraft.crafted.light_gray_carpet: #2, 2490(5%)
minecraft.dropped.golden_carrot: #3, 1042(10%)
minecraft.crafted.magenta_banner: #2, 7(30%)
minecraft.mined.red_mushroom: #3, 94(10%)
minecraft.picked_up.chiseled_quartz_block: #3, 191(13%)
minecraft.picked_up.music_disc_chirp: #2, 6(11%)
minecraft.mined.cyan_banner: #2, 9(39%)
minecraft.custom.traded_with_villager: #4, 164927(14%)
minecraft.used.gray_stained_glass_pane: #3, 595(14%)
minecraft.picked_up.polished_andesite_stairs: #3, 783(11%)
minecraft.crafted.diamond_helmet: #3, 14(10%)
