stat, rank, value, (percentage) 
minecraft.crafted.observer: #4, 1584(8%)
minecraft.used.spruce_door: #4, 57(9%)
minecraft.picked_up.glowstone: #4, 1009(7%)
minecraft.crafted.slime_ball: #4, 5705(11%)
minecraft.picked_up.leather_helmet: #4, 112(8%)
minecraft.used.tripwire_hook: #4, 56(8%)
minecraft.used.gray_banner: #3, 10(9%)
minecraft.mined.stonecutter: #4, 197(8%)
minecraft.mined.prismarine_brick_slab: #3, 127(8%)
minecraft.used.smooth_stone_slab: #4, 14805(8%)
minecraft.picked_up.gray_concrete_powder: #4, 9782(7%)
minecraft.crafted.diorite_stairs: #3, 20(10%)
minecraft.used.diorite_wall: #4, 257(13%)
minecraft.used.crimson_roots: #4, 21(10%)
minecraft.picked_up.black_stained_glass_pane: #4, 297(9%)
minecraft.used.nether_bricks: #5, 4100(12%)
minecraft.crafted.brick_stairs: #3, 78(6%)
minecraft.dropped.red_terracotta: #4, 159(9%)
minecraft.crafted.gray_banner: #3, 10(7%)
minecraft.used.iron_block: #4, 10344(7%)
minecraft.mined.cyan_stained_glass: #3, 763(3%)
minecraft.used.blackstone_stairs: #3, 286(3%)
minecraft.mined.potatoes: #4, 359(9%)
minecraft.mined.azure_bluet: #4, 126(8%)
minecraft.crafted.baked_potato: #4, 252(14%)
minecraft.picked_up.crimson_roots: #4, 1583(7%)
minecraft.picked_up.polished_blackstone_wall: #4, 196(7%)
minecraft.used.soul_soil: #4, 1465(8%)
minecraft.dropped.iron_chestplate: #4, 12(10%)
minecraft.picked_up.potato: #4, 2283(6%)
minecraft.dropped.polished_diorite_stairs: #3, 3(13%)
minecraft.mined.packed_ice: #3, 3570(2%)
minecraft.mined.red_mushroom_block: #4, 2524(7%)
minecraft.picked_up.cyan_stained_glass: #3, 739(2%)
minecraft.killed.strider: #3, 3(5%)
minecraft.crafted.dark_prismarine_stairs: #3, 55(6%)
minecraft.crafted.fishing_rod: #4, 21(7%)
minecraft.used.cobblestone_stairs: #4, 254(7%)
minecraft.used.torch: #4, 20309(6%)
minecraft.picked_up.brick_stairs: #4, 87(10%)
minecraft.dropped.polished_blackstone_slab: #4, 48(10%)
minecraft.crafted.acacia_fence: #4, 90(11%)
minecraft.dropped.stone_brick_stairs: #3, 104(4%)
minecraft.mined.spruce_fence: #4, 287(6%)
minecraft.mined.nether_quartz_ore: #4, 6541(6%)
