stat, rank, value, (percentage) 
minecraft.picked_up.salmon: #7, 44(3%)
minecraft.dropped.oak_stairs: #7, 6(5%)
minecraft.picked_up.light_gray_shulker_box: #7, 94(4%)
minecraft.mined.spruce_fence_gate: #7, 13(3%)
minecraft.mined.crimson_trapdoor: #7, 31(4%)
minecraft.dropped.purple_bed: #7, 1(8%)
minecraft.mined.warped_sign: #7, 1(8%)
minecraft.picked_up.crimson_slab: #7, 63(4%)
minecraft.crafted.dark_oak_door: #7, 24(4%)
minecraft.mined.red_carpet: #7, 56(3%)
minecraft.broken.golden_shovel: #7, 4(4%)
minecraft.picked_up.birch_wood: #7, 7(6%)
minecraft.used.lilac: #7, 17(3%)
minecraft.dropped.black_concrete: #7, 115(4%)
minecraft.dropped.wooden_axe: #7, 1(7%)
minecraft.picked_up.green_carpet: #7, 112(2%)
minecraft.crafted.birch_slab: #7, 648(2%)
