stat, rank, value, (percentage) 
minecraft.mined.dark_oak_sapling: #2, 82(24%)
minecraft.mined.white_concrete_powder: #2, 788(11%)
minecraft.picked_up.lime_dye: #2, 403(16%)
minecraft.picked_up.chainmail_boots: #2, 16(12%)
minecraft.picked_up.diamond_axe: #2, 62(11%)
minecraft.picked_up.water_bucket: #2, 85(10%)
minecraft.mined.lilac: #2, 27(14%)
minecraft.dropped.netherite_axe: #2, 11(14%)
minecraft.dropped.golden_leggings: #2, 53(12%)
minecraft.picked_up.diamond_shovel: #2, 103(11%)
minecraft.picked_up.golden_boots: #2, 51(11%)
minecraft.custom.interact_with_cartography_table: #2, 63(14%)
minecraft.dropped.acacia_leaves: #2, 509(23%)
minecraft.dropped.cod: #2, 3887(13%)
minecraft.dropped.egg: #3, 3065(16%)
minecraft.mined.potted_poppy: #1, 2(25%)
minecraft.dropped.stripped_acacia_wood: #1, 3(50%)
minecraft.mined.andesite: #2, 43344(10%)
minecraft.used.stripped_warped_hyphae: #2, 757(28%)
minecraft.picked_up.potato: #2, 3689(10%)
minecraft.picked_up.obsidian: #2, 2887(10%)
minecraft.picked_up.cut_sandstone_slab: #2, 251(17%)
minecraft.picked_up.crimson_hyphae: #2, 162(22%)
minecraft.dropped.wither_rose: #2, 196(24%)
minecraft.dropped.leather_leggings: #2, 41(11%)
minecraft.picked_up.iron_shovel: #2, 34(11%)
minecraft.dropped.jungle_sapling: #2, 63(17%)
minecraft.mined.warped_planks: #2, 126(14%)
minecraft.killed.chicken: #3, 594(14%)
minecraft.crafted.paper: #3, 124392(15%)
minecraft.used.gravel: #2, 5122(10%)
minecraft.mined.granite: #2, 37737(10%)
minecraft.mined.nether_wart: #2, 9355(11%)
minecraft.used.red_stained_glass_pane: #2, 428(18%)
minecraft.dropped.soul_campfire: #1, 4(67%)
minecraft.mined.potted_wither_rose: #1, 2(67%)
minecraft.mined.brown_terracotta: #3, 4604(18%)
minecraft.used.netherite_shovel: #2, 295196(13%)
minecraft.mined.stripped_warped_hyphae: #2, 588(23%)
minecraft.dropped.spruce_door: #2, 34(16%)
minecraft.crafted.dark_oak_sign: #2, 144(11%)
minecraft.dropped.birch_log: #2, 279(13%)
minecraft.picked_up.glass_pane: #2, 683(11%)
minecraft.used.nether_gold_ore: #2, 67(17%)
minecraft.dropped.golden_boots: #2, 49(11%)
minecraft.mined.warped_stem: #3, 5533(15%)
minecraft.dropped.music_disc_pigstep: #1, 2(40%)
minecraft.dropped.netherite_sword: #2, 9(12%)
minecraft.picked_up.leather_leggings: #2, 42(9%)
minecraft.picked_up.trident: #2, 51(11%)
minecraft.mined.birch_pressure_plate: #2, 28(18%)
minecraft.picked_up.egg: #3, 2863(13%)
minecraft.crafted.ender_eye: #3, 307(14%)
minecraft.dropped.warped_nylium: #2, 47(14%)
minecraft.crafted.black_terracotta: #3, 6285(20%)
minecraft.picked_up.stripped_warped_hyphae: #2, 601(21%)
minecraft.picked_up.map: #2, 109(18%)
minecraft.picked_up.emerald: #3, 2269(13%)
minecraft.picked_up.lantern: #3, 1317(13%)
minecraft.picked_up.ancient_debris: #2, 710(9%)
minecraft.used.nether_wart: #2, 9101(10%)
minecraft.used.mossy_cobblestone: #2, 306(12%)
minecraft.picked_up.diamond_hoe: #2, 10(12%)
