stat, rank, value, (percentage) 
minecraft.used.blue_bed: #3, 31(4%)
minecraft.crafted.andesite_stairs: #4, 193(8%)
minecraft.broken.golden_leggings: #3, 1(7%)
minecraft.used.jukebox: #4, 9(7%)
minecraft.crafted.light_blue_glazed_terracotta: #3, 14(8%)
minecraft.picked_up.magenta_terracotta: #3, 148(5%)
minecraft.picked_up.pink_bed: #4, 7(10%)
minecraft.used.dried_kelp: #4, 151(11%)
minecraft.picked_up.iron_hoe: #4, 5(10%)
minecraft.used.lava_bucket: #4, 1258(6%)
minecraft.picked_up.blue_bed: #3, 27(3%)
minecraft.custom.interact_with_cartography_table: #4, 32(7%)
minecraft.crafted.stripped_spruce_wood: #3, 9(6%)
minecraft.used.gold_ore: #4, 27(7%)
minecraft.crafted.magenta_bed: #3, 1(4%)
minecraft.mined.yellow_wool: #4, 155(9%)
minecraft.crafted.black_glazed_terracotta: #3, 67(7%)
minecraft.mined.blue_glazed_terracotta: #3, 8(7%)
minecraft.picked_up.enchanted_book: #4, 118(5%)
minecraft.mined.mossy_cobblestone_wall: #3, 4(4%)
minecraft.dropped.yellow_banner: #3, 1(3%)
minecraft.dropped.polished_blackstone_bricks: #4, 166(10%)
minecraft.used.orange_glazed_terracotta: #3, 28(3%)
minecraft.crafted.loom: #4, 100(6%)
minecraft.crafted.bubble_coral_block: #3, 1(6%)
minecraft.crafted.horn_coral_block: #3, 1(6%)
minecraft.mined.brown_carpet: #4, 85(6%)
minecraft.picked_up.mossy_cobblestone_wall: #3, 4(3%)
minecraft.killed.wandering_trader: #4, 14(6%)
minecraft.mined.purple_terracotta: #4, 334(15%)
minecraft.dropped.blue_stained_glass: #3, 4(2%)
minecraft.mined.stone_brick_wall: #4, 171(7%)
minecraft.crafted.green_glazed_terracotta: #3, 8(5%)
minecraft.crafted.golden_chestplate: #4, 10(8%)
minecraft.picked_up.acacia_trapdoor: #4, 148(7%)
minecraft.mined.scaffolding: #5, 8334(9%)
minecraft.crafted.yellow_bed: #4, 4(12%)
minecraft.used.quartz_slab: #4, 1277(5%)
minecraft.dropped.purple_dye: #3, 26(2%)
minecraft.used.blue_glazed_terracotta: #3, 8(2%)
minecraft.used.fire_coral_block: #3, 9(2%)
minecraft.crafted.lead: #5, 108(11%)
minecraft.crafted.blue_bed: #4, 6(14%)
minecraft.picked_up.white_stained_glass_pane: #4, 296(5%)
minecraft.custom.target_hit: #4, 689(5%)
minecraft.picked_up.jungle_wood: #4, 116(8%)
minecraft.mined.yellow_banner: #3, 1(2%)
minecraft.used.end_rod: #5, 1297(9%)
minecraft.picked_up.jungle_pressure_plate: #4, 2(12%)
minecraft.dropped.birch_fence: #4, 25(8%)
minecraft.used.tropical_fish_bucket: #4, 21(8%)
minecraft.picked_up.splash_potion: #4, 40(5%)
minecraft.used.gray_terracotta: #4, 1241(8%)
minecraft.dropped.cooked_mutton: #4, 53(7%)
minecraft.used.pink_bed: #4, 16(7%)
minecraft.used.black_stained_glass_pane: #5, 1847(10%)
minecraft.used.jungle_sapling: #4, 186(6%)
minecraft.picked_up.purple_terracotta: #4, 340(11%)
minecraft.mined.jungle_slab: #4, 323(5%)
minecraft.mined.birch_slab: #4, 198(4%)
minecraft.picked_up.gold_ingot: #5, 1113(8%)
minecraft.used.iron_hoe: #4, 1517(4%)
minecraft.dropped.leather_helmet: #4, 29(4%)
minecraft.crafted.green_bed: #4, 5(9%)
minecraft.picked_up.bookshelf: #5, 244(9%)
minecraft.used.granite_slab: #4, 62(8%)
minecraft.picked_up.blue_carpet: #4, 154(8%)
minecraft.picked_up.spruce_sign: #4, 98(3%)
minecraft.picked_up.music_disc_pigstep: #4, 4(13%)
minecraft.crafted.book: #5, 876(8%)
minecraft.custom.climb_one_cm: #5, 7018160(6%)
minecraft.picked_up.birch_trapdoor: #5, 124(8%)
minecraft.used.painting: #5, 306(8%)
minecraft.used.light_gray_wool: #4, 851(4%)
minecraft.used.acacia_slab: #4, 212(5%)
minecraft.used.bookshelf: #4, 555(3%)
minecraft.used.polished_blackstone_bricks: #5, 3016(8%)
minecraft.killed_by.magma_cube: #4, 2(12%)
minecraft.used.item_frame: #5, 699(7%)
minecraft.picked_up.cyan_carpet: #5, 199(9%)
minecraft.crafted.pink_terracotta: #4, 376(6%)
minecraft.used.stripped_birch_wood: #4, 79(6%)
