stat, rank, value, (percentage) 
minecraft.used.chiseled_polished_blackstone: #6, 257(6%)
minecraft.killed.cod: #6, 109(6%)
minecraft.crafted.magma_block: #5, 3(0%)
minecraft.killed.witch: #5, 27(0%)
minecraft.crafted.magma_cream: #5, 4(0%)
minecraft.used.birch_sapling: #6, 600(5%)
minecraft.used.smooth_sandstone_slab: #6, 1323(5%)
minecraft.picked_up.iron_horse_armor: #6, 2(6%)
minecraft.picked_up.birch_planks: #6, 582(4%)
minecraft.crafted.tripwire_hook: #6, 128(4%)
minecraft.mined.nether_gold_ore: #6, 342(4%)
minecraft.picked_up.brain_coral: #6, 12(6%)
minecraft.picked_up.gilded_blackstone: #6, 61(4%)
minecraft.mined.black_stained_glass_pane: #6, 86(4%)
minecraft.crafted.smithing_table: #6, 65(3%)
minecraft.crafted.cauldron: #6, 65(3%)
minecraft.crafted.netherite_axe: #6, 1(8%)
minecraft.used.tropical_fish_bucket: #6, 15(6%)
minecraft.dropped.purpur_stairs: #6, 15(5%)
minecraft.used.chest_minecart: #6, 9(4%)
minecraft.crafted.chest_minecart: #6, 9(4%)
minecraft.used.sand: #7, 24736(6%)
minecraft.dropped.black_carpet: #6, 34(4%)
minecraft.used.polished_blackstone_wall: #6, 425(3%)
minecraft.picked_up.fire_coral: #6, 12(6%)
minecraft.used.gravel: #7, 3235(6%)
minecraft.picked_up.golden_helmet: #7, 38(6%)
minecraft.crafted.gold_nugget: #6, 4241(2%)
minecraft.crafted.dark_oak_fence_gate: #6, 96(2%)
minecraft.picked_up.minecart: #7, 260(6%)
minecraft.dropped.stone_pickaxe: #6, 12(2%)
minecraft.picked_up.birch_trapdoor: #7, 99(7%)
minecraft.custom.open_enderchest: #7, 5579(5%)
minecraft.used.dark_oak_fence_gate: #6, 98(2%)
minecraft.picked_up.music_disc_pigstep: #6, 2(6%)
minecraft.picked_up.music_disc_ward: #6, 2(3%)
minecraft.crafted.cookie: #6, 360(3%)
minecraft.picked_up.stone: #7, 183695(5%)
minecraft.used.stone_bricks: #7, 13899(6%)
minecraft.dropped.polished_granite: #6, 32(3%)
minecraft.dropped.birch_pressure_plate: #6, 1(5%)
minecraft.crafted.ender_pearl: #6, 6(4%)
minecraft.picked_up.sugar: #6, 78(2%)
minecraft.mined.white_concrete_powder: #6, 95(1%)
minecraft.mined.brain_coral: #6, 12(2%)
minecraft.mined.beetroots: #6, 29(2%)
minecraft.used.coal_ore: #7, 2878(6%)
minecraft.mined.wither_rose: #7, 86(8%)
minecraft.used.brown_carpet: #7, 406(6%)
minecraft.dropped.iron_door: #6, 2(2%)
minecraft.picked_up.brain_coral_block: #6, 41(3%)
minecraft.mined.brain_coral_block: #6, 41(3%)
minecraft.picked_up.quartz_stairs: #6, 102(1%)
minecraft.broken.stone_hoe: #6, 1(3%)
minecraft.mined.cut_sandstone: #6, 90(1%)
minecraft.mined.red_shulker_box: #7, 428(5%)
minecraft.mined.fire_coral: #6, 13(2%)
minecraft.picked_up.fire_coral_block: #6, 47(2%)
minecraft.crafted.stone_brick_slab: #7, 2646(5%)
minecraft.picked_up.red_shulker_box: #7, 433(5%)
minecraft.used.red_shulker_box: #7, 428(5%)
minecraft.picked_up.polished_blackstone_brick_stairs: #7, 152(6%)
minecraft.dropped.acacia_sapling: #6, 11(2%)
minecraft.mined.powered_rail: #7, 487(5%)
minecraft.custom.interact_with_smithing_table: #7, 43(5%)
minecraft.mined.soul_wall_torch: #6, 3(2%)
minecraft.dropped.quartz_stairs: #6, 3(2%)
minecraft.crafted.cake: #6, 7(1%)
minecraft.used.oak_wood: #6, 576(1%)
minecraft.crafted.brown_glazed_terracotta: #6, 7(3%)
minecraft.mined.ender_chest: #7, 737(5%)
minecraft.crafted.fermented_spider_eye: #6, 87(1%)
minecraft.dropped.netherite_axe: #7, 5(6%)
minecraft.picked_up.ender_chest: #7, 777(5%)
minecraft.mined.tripwire_hook: #7, 8(6%)
minecraft.used.ender_chest: #7, 744(5%)
minecraft.crafted.player_head: #7, 682(5%)
minecraft.dropped.saddle: #6, 2(1%)
minecraft.crafted.emerald_block: #7, 898(5%)
minecraft.picked_up.blue_concrete_powder: #6, 70(1%)
minecraft.used.oak_sign: #7, 330(4%)
minecraft.mined.lilac: #7, 11(6%)
minecraft.picked_up.ender_eye: #6, 4(1%)
minecraft.picked_up.oak_pressure_plate: #7, 6(6%)
minecraft.crafted.red_nether_brick_stairs: #6, 1(0%)
minecraft.dropped.map: #6, 1(0%)
minecraft.dropped.light_gray_dye: #6, 7(0%)
