stat, rank, value, (percentage) 
minecraft.custom.bell_ring: #4, 106(6%)
minecraft.dropped.oak_button: #4, 27(9%)
minecraft.used.note_block: #4, 319(7%)
minecraft.dropped.light_blue_concrete_powder: #3, 40(7%)
minecraft.mined.jack_o_lantern: #4, 44(10%)
minecraft.dropped.nether_wart: #4, 237(9%)
minecraft.used.golden_apple: #4, 15(8%)
minecraft.used.bell: #4, 21(6%)
minecraft.dropped.lime_stained_glass_pane: #3, 16(5%)
minecraft.crafted.flint_and_steel: #4, 18(6%)
minecraft.crafted.diamond_leggings: #4, 7(6%)
minecraft.crafted.iron_bars: #4, 2032(6%)
minecraft.dropped.nether_brick_fence: #4, 34(9%)
minecraft.crafted.mossy_cobblestone_slab: #4, 54(11%)
minecraft.dropped.pink_stained_glass_pane: #3, 3(6%)
minecraft.dropped.crying_obsidian: #3, 17(3%)
minecraft.dropped.crimson_fence: #3, 2(4%)
minecraft.custom.strider_one_cm: #4, 92642(9%)
minecraft.dropped.coal: #5, 584(10%)
minecraft.crafted.magenta_concrete_powder: #4, 1792(10%)
minecraft.picked_up.brown_concrete: #4, 263(8%)
minecraft.mined.warped_wart_block: #5, 6644(9%)
minecraft.crafted.lime_terracotta: #4, 1024(9%)
minecraft.dropped.black_concrete: #4, 251(8%)
minecraft.dropped.purpur_slab: #4, 23(7%)
minecraft.used.brown_bed: #4, 44(7%)
minecraft.picked_up.snow_block: #4, 2374(7%)
minecraft.used.iron_pickaxe: #4, 6902(4%)
minecraft.dropped.lime_concrete_powder: #3, 3(1%)
minecraft.picked_up.light_blue_terracotta: #4, 142(9%)
minecraft.mined.dark_oak_wall_sign: #4, 13(6%)
minecraft.mined.crafting_table: #4, 302(4%)
minecraft.crafted.magma_block: #3, 19(1%)
minecraft.mined.mossy_cobblestone_slab: #4, 10(10%)
minecraft.crafted.note_block: #4, 283(5%)
minecraft.dropped.purple_wool: #4, 140(11%)
minecraft.used.crimson_door: #4, 7(10%)
minecraft.mined.mossy_stone_brick_slab: #4, 3(12%)
minecraft.crafted.green_terracotta: #4, 928(5%)
minecraft.picked_up.crimson_door: #4, 4(9%)
minecraft.dropped.crimson_roots: #5, 220(9%)
minecraft.dropped.potato: #4, 521(5%)
minecraft.crafted.birch_button: #4, 44(7%)
minecraft.dropped.polished_diorite: #4, 121(11%)
minecraft.picked_up.black_banner: #4, 75(6%)
minecraft.dropped.composter: #4, 15(9%)
minecraft.used.gilded_blackstone: #4, 33(6%)
minecraft.mined.jungle_pressure_plate: #4, 2(13%)
minecraft.used.beacon: #5, 112(8%)
minecraft.dropped.golden_apple: #4, 26(7%)
minecraft.dropped.quartz_stairs: #4, 15(11%)
minecraft.picked_up.comparator: #5, 391(8%)
minecraft.mined.oak_wall_sign: #5, 119(8%)
minecraft.crafted.crimson_door: #4, 6(8%)
minecraft.crafted.cracked_polished_blackstone_bricks: #4, 77(11%)
minecraft.used.observer: #5, 1846(8%)
minecraft.broken.diamond_helmet: #4, 1(14%)
minecraft.picked_up.diamond_helmet: #5, 38(7%)
minecraft.used.lime_concrete: #4, 952(4%)
minecraft.mined.light_blue_terracotta: #4, 76(7%)
minecraft.crafted.light_gray_carpet: #4, 1713(4%)
minecraft.crafted.cookie: #4, 864(8%)
minecraft.picked_up.hopper: #5, 1130(7%)
minecraft.crafted.redstone_lamp: #5, 447(8%)
minecraft.dropped.stone_axe: #4, 13(4%)
minecraft.used.comparator: #5, 710(8%)
minecraft.crafted.magenta_stained_glass_pane: #4, 64(9%)
minecraft.dropped.orange_concrete: #4, 16(8%)
minecraft.crafted.stone_brick_stairs: #5, 856(8%)
minecraft.mined.pink_terracotta: #4, 48(7%)
minecraft.dropped.crimson_fungus: #4, 36(5%)
minecraft.dropped.stick: #5, 3706(7%)
minecraft.mined.granite_slab: #4, 11(9%)
minecraft.mined.polished_andesite: #5, 1442(8%)
minecraft.dropped.soul_sand: #5, 619(8%)
