stat, rank, value, (percentage) 
minecraft.mined.mossy_stone_brick_stairs: #3, 2(6%)
minecraft.picked_up.smooth_sandstone: #4, 2277(6%)
minecraft.used.chorus_flower: #3, 206(4%)
minecraft.picked_up.popped_chorus_fruit: #3, 54(9%)
minecraft.picked_up.purple_stained_glass_pane: #3, 38(3%)
minecraft.crafted.red_carpet: #4, 1208(6%)
minecraft.mined.warped_pressure_plate: #3, 2(7%)
minecraft.picked_up.birch_planks: #4, 882(6%)
minecraft.used.ancient_debris: #3, 56(2%)
minecraft.mined.purple_stained_glass_pane: #3, 26(2%)
minecraft.used.purple_wool: #4, 143(7%)
minecraft.crafted.golden_leggings: #4, 9(10%)
minecraft.used.magenta_wool: #4, 126(8%)
