stat, rank, value, (percentage) 
minecraft.used.nether_brick_slab: #4, 1770(9%)
minecraft.crafted.warped_slab: #4, 678(11%)
minecraft.picked_up.iron_helmet: #4, 37(8%)
minecraft.used.stripped_warped_hyphae: #3, 278(10%)
minecraft.crafted.white_stained_glass_pane: #4, 1392(9%)
minecraft.picked_up.nether_wart_block: #4, 5283(8%)
minecraft.picked_up.wither_rose: #4, 578(9%)
minecraft.dropped.sugar_cane: #4, 3339(9%)
minecraft.picked_up.soul_torch: #4, 86(11%)
minecraft.broken.iron_chestplate: #3, 1(17%)
minecraft.used.stone_brick_slab: #4, 4975(8%)
minecraft.picked_up.cyan_banner: #3, 15(14%)
minecraft.picked_up.magenta_stained_glass_pane: #3, 16(7%)
minecraft.dropped.warped_stem: #3, 67(7%)
minecraft.used.magenta_stained_glass: #3, 90(6%)
minecraft.custom.interact_with_furnace: #4, 4145(7%)
minecraft.used.gray_wool: #4, 2638(8%)
minecraft.dropped.gunpowder: #4, 2656(8%)
minecraft.picked_up.milk_bucket: #4, 20(9%)
minecraft.crafted.charcoal: #3, 173(5%)
minecraft.mined.purpur_slab: #4, 94(10%)
minecraft.killed.skeleton_horse: #3, 1(14%)
minecraft.dropped.firework_rocket: #4, 2209(7%)
minecraft.picked_up.iron_bars: #4, 800(7%)
minecraft.mined.oak_fence: #4, 432(7%)
minecraft.dropped.gray_stained_glass_pane: #3, 55(6%)
minecraft.used.smooth_quartz: #4, 2812(8%)
minecraft.used.polished_diorite: #4, 1081(8%)
minecraft.dropped.birch_wood: #3, 10(10%)
minecraft.picked_up.coal_ore: #4, 6448(7%)
minecraft.crafted.brown_stained_glass_pane: #4, 144(15%)
minecraft.crafted.warped_planks: #4, 3036(7%)
minecraft.crafted.oak_fence_gate: #4, 132(7%)
minecraft.used.cartography_table: #4, 24(9%)
minecraft.crafted.soul_campfire: #3, 44(5%)
minecraft.dropped.crimson_sign: #3, 4(7%)
minecraft.used.lime_glazed_terracotta: #3, 23(13%)
minecraft.mined.netherrack: #4, 140594(6%)
minecraft.custom.clean_banner: #3, 18(17%)
minecraft.dropped.light_gray_wool: #3, 295(3%)
minecraft.used.warped_roots: #3, 32(3%)
minecraft.crafted.orange_carpet: #4, 1581(10%)
minecraft.mined.obsidian: #4, 2358(6%)
minecraft.dropped.stripped_warped_hyphae: #3, 18(11%)
minecraft.dropped.oxeye_daisy: #3, 64(3%)
minecraft.picked_up.birch_wood: #4, 18(14%)
minecraft.crafted.warped_fungus_on_a_stick: #3, 2(6%)
minecraft.crafted.birch_sign: #4, 393(6%)
minecraft.crafted.black_carpet: #4, 4266(7%)
minecraft.mined.peony: #4, 20(8%)
minecraft.picked_up.blue_terracotta: #4, 512(11%)
minecraft.dropped.green_stained_glass_pane: #3, 17(12%)
minecraft.mined.pink_bed: #4, 7(10%)
minecraft.used.iron_axe: #4, 2952(6%)
minecraft.used.nether_quartz_ore: #5, 2452(11%)
minecraft.used.end_stone_bricks: #3, 1287(2%)
minecraft.mined.sea_lantern: #4, 742(6%)
minecraft.used.pink_glazed_terracotta: #3, 10(8%)
minecraft.picked_up.end_stone: #4, 4303(7%)
minecraft.picked_up.lime_concrete: #4, 797(6%)
minecraft.picked_up.stone_brick_slab: #4, 1474(6%)
minecraft.used.white_banner: #4, 59(6%)
minecraft.crafted.white_terracotta: #4, 1088(9%)
minecraft.picked_up.light_blue_shulker_box: #5, 628(10%)
minecraft.crafted.polished_andesite_stairs: #4, 516(8%)
minecraft.used.map: #4, 39(7%)
minecraft.used.daylight_detector: #5, 128(11%)
minecraft.used.purpur_pillar: #3, 63(1%)
minecraft.dropped.red_stained_glass_pane: #3, 11(8%)
minecraft.picked_up.cornflower: #4, 1391(5%)
minecraft.crafted.oak_door: #5, 48(11%)
minecraft.used.crossbow: #5, 409(10%)
minecraft.killed.enderman: #5, 67038(9%)
minecraft.picked_up.gray_stained_glass_pane: #4, 145(7%)
minecraft.dropped.heavy_weighted_pressure_plate: #4, 20(11%)
minecraft.mined.black_carpet: #4, 2033(6%)
minecraft.dropped.cyan_carpet: #4, 65(9%)
minecraft.used.iron_sword: #4, 2084(5%)
minecraft.mined.soul_soil: #5, 3667(9%)
minecraft.crafted.light_gray_terracotta: #4, 1880(8%)
minecraft.dropped.green_stained_glass: #3, 3(2%)
minecraft.used.stone_slab: #5, 6001(9%)
minecraft.used.purpur_stairs: #4, 207(9%)
minecraft.used.potion: #5, 217(9%)
minecraft.picked_up.brown_mushroom_block: #4, 2732(6%)
