stat, rank, value, (percentage) 
minecraft.picked_up.netherite_helmet: #8, 2(2%)
minecraft.dropped.dark_oak_sapling: #8, 3(2%)
minecraft.crafted.suspicious_stew: #8, 3(3%)
minecraft.picked_up.twisting_vines: #8, 76(1%)
minecraft.mined.redstone_torch: #9, 28(5%)
minecraft.dropped.golden_sword: #8, 2(2%)
minecraft.picked_up.golden_sword: #8, 2(2%)
minecraft.dropped.soul_sand: #8, 17(1%)
minecraft.dropped.redstone_block: #8, 8(2%)
minecraft.used.oxeye_daisy: #8, 3(2%)
minecraft.mined.rooted_dirt: #8, 34(1%)
minecraft.mined.dirt: #9, 18885(4%)
minecraft.dropped.brown_mushroom: #8, 3(1%)
minecraft.mined.cut_sandstone_slab: #8, 8(1%)
minecraft.dropped.copper_ore: #8, 9(1%)
minecraft.used.jungle_trapdoor: #8, 37(1%)
minecraft.mined.red_shulker_box: #9, 114(5%)
