stat, rank, value, (percentage) 
minecraft.crafted.turtle_helmet: #3, 2(6%)
minecraft.mined.acacia_wall_sign: #3, 1(6%)
minecraft.dropped.jungle_stairs: #3, 2(4%)
minecraft.used.crimson_trapdoor: #4, 82(11%)
minecraft.used.petrified_oak_slab: #3, 8(2%)
minecraft.dropped.oak_trapdoor: #4, 20(9%)
minecraft.picked_up.mossy_stone_brick_slab: #3, 87(3%)
minecraft.crafted.leather_boots: #4, 23(9%)
minecraft.picked_up.orange_stained_glass: #4, 14(15%)
minecraft.picked_up.warped_hyphae: #3, 3(2%)
minecraft.crafted.petrified_oak_slab: #3, 5(2%)
minecraft.picked_up.mossy_stone_brick_stairs: #3, 16(1%)
minecraft.used.light_weighted_pressure_plate: #3, 2(1%)
minecraft.dropped.glass_pane: #3, 50(1%)
minecraft.mined.yellow_wool: #4, 110(7%)
minecraft.used.leather_leggings: #4, 1(25%)
minecraft.used.quartz_block: #4, 381(7%)
minecraft.crafted.lightning_rod: #4, 89(5%)
minecraft.picked_up.jungle_stairs: #4, 31(7%)
minecraft.mined.mossy_stone_brick_slab: #4, 11(14%)
minecraft.crafted.blackstone_stairs: #4, 21(8%)
minecraft.mined.white_banner: #4, 3(9%)
minecraft.used.warped_slab: #4, 142(7%)
minecraft.mined.jungle_planks: #4, 94(5%)
minecraft.picked_up.diamond_hoe: #5, 18(10%)
minecraft.crafted.brick_stairs: #4, 24(12%)
minecraft.used.birch_wood: #4, 88(7%)
minecraft.used.mossy_cobblestone_wall: #4, 21(11%)
minecraft.used.green_concrete_powder: #4, 114(9%)
minecraft.used.gray_shulker_box: #4, 43(7%)
minecraft.used.activator_rail: #4, 11(10%)
minecraft.dropped.gray_dye: #4, 10(10%)
minecraft.used.campfire: #5, 109(8%)
minecraft.crafted.nether_brick_slab: #4, 120(7%)
minecraft.picked_up.stone_brick_wall: #5, 54(9%)
minecraft.dropped.green_dye: #4, 12(10%)
minecraft.picked_up.activator_rail: #4, 7(7%)
minecraft.used.jungle_trapdoor: #4, 170(6%)
minecraft.used.white_candle: #4, 26(9%)
minecraft.picked_up.lily_pad: #4, 58(3%)
minecraft.crafted.jungle_trapdoor: #4, 156(5%)
minecraft.used.mossy_stone_bricks: #4, 188(5%)
minecraft.mined.gray_shulker_box: #4, 39(6%)
minecraft.crafted.activator_rail: #4, 12(11%)
minecraft.used.crimson_door: #4, 2(11%)
minecraft.custom.interact_with_anvil: #5, 266(6%)
minecraft.dropped.bricks: #4, 34(12%)
minecraft.picked_up.gray_shulker_box: #4, 39(6%)
minecraft.used.glow_berries: #5, 232(7%)
minecraft.mined.dark_oak_sign: #5, 4(9%)
minecraft.dropped.experience_bottle: #4, 93(14%)
minecraft.crafted.cyan_stained_glass: #4, 96(4%)
minecraft.used.stripped_birch_wood: #4, 31(11%)
minecraft.picked_up.polished_blackstone_brick_stairs: #4, 24(5%)
minecraft.used.mossy_cobblestone_slab: #4, 95(5%)
minecraft.used.brown_concrete_powder: #4, 102(5%)
minecraft.mined.dragon_wall_head: #5, 9(10%)
minecraft.used.jungle_stairs: #4, 62(4%)
minecraft.used.mossy_stone_brick_wall: #4, 10(13%)
minecraft.mined.mossy_cobblestone: #5, 183(8%)
minecraft.picked_up.mossy_cobblestone: #5, 242(8%)
minecraft.crafted.brewing_stand: #5, 12(8%)
minecraft.mined.warped_fence_gate: #4, 5(8%)
minecraft.mined.cracked_stone_bricks: #4, 36(4%)
minecraft.picked_up.jungle_door: #4, 4(8%)
minecraft.killed_by.zombie_villager: #4, 2(9%)
minecraft.mined.stripped_warped_hyphae: #4, 48(5%)
minecraft.picked_up.birch_stairs: #5, 22(8%)
minecraft.dropped.big_dripleaf: #4, 17(8%)
minecraft.used.warped_hyphae: #4, 87(6%)
minecraft.used.light_blue_concrete: #4, 46(6%)
minecraft.mined.cyan_wool: #4, 3(7%)
minecraft.crafted.shulker_box: #5, 290(6%)
minecraft.mined.jungle_door: #4, 4(10%)
minecraft.picked_up.diamond_leggings: #5, 22(6%)
minecraft.dropped.diamond_ore: #4, 1(9%)
minecraft.mined.spruce_trapdoor: #5, 208(6%)
minecraft.mined.polished_andesite_slab: #4, 5(4%)
minecraft.picked_up.spruce_fence: #5, 229(6%)
minecraft.used.stone_brick_stairs: #5, 473(7%)
minecraft.crafted.light_gray_wool: #4, 79(2%)
minecraft.crafted.blackstone_slab: #4, 66(3%)
minecraft.dropped.spruce_pressure_plate: #4, 1(8%)
minecraft.mined.magenta_stained_glass: #4, 13(3%)
minecraft.killed_by.skeleton: #5, 6(8%)
minecraft.used.cut_red_sandstone: #4, 25(6%)
minecraft.crafted.bricks: #4, 472(2%)
minecraft.dropped.seagrass: #4, 3(6%)
minecraft.dropped.orange_shulker_box: #4, 1(7%)
minecraft.dropped.black_dye: #4, 8(4%)
minecraft.dropped.campfire: #4, 1(6%)
minecraft.dropped.lightning_rod: #4, 1(6%)
minecraft.mined.coarse_dirt: #5, 686(5%)
minecraft.dropped.crimson_fungus: #4, 2(6%)
minecraft.used.orange_concrete: #4, 52(4%)
minecraft.dropped.flint_and_steel: #5, 3(8%)
minecraft.crafted.nether_brick_stairs: #4, 8(5%)
minecraft.mined.black_bed: #4, 8(4%)
minecraft.crafted.cut_copper_slab: #5, 86(12%)
minecraft.mined.cobblestone_stairs: #5, 29(6%)
minecraft.used.cyan_stained_glass: #4, 32(1%)
minecraft.dropped.prismarine_crystals: #4, 22(2%)
minecraft.used.glass_pane: #5, 154(8%)
minecraft.picked_up.brown_candle: #4, 7(3%)
minecraft.dropped.glowstone_dust: #4, 55(1%)
minecraft.crafted.mossy_stone_brick_slab: #4, 108(3%)
minecraft.used.dead_brain_coral_block: #4, 12(2%)
minecraft.crafted.crimson_trapdoor: #5, 86(11%)
