stat, rank, value, (percentage) 
minecraft.picked_up.redstone_ore: #3, 879(10%)
minecraft.picked_up.cobbled_deepslate_wall: #3, 88(15%)
minecraft.picked_up.diamond_shovel: #3, 54(9%)
minecraft.mined.oxidized_cut_copper_stairs: #2, 139(17%)
minecraft.picked_up.glass: #3, 2692(9%)
minecraft.mined.deepslate_iron_ore: #3, 806(9%)
minecraft.crafted.dark_oak_slab: #3, 1344(11%)
minecraft.used.chipped_anvil: #3, 12(13%)
minecraft.mined.bubble_coral: #2, 72(15%)
minecraft.broken.shears: #3, 32(10%)
minecraft.used.waxed_cut_copper_stairs: #2, 136(33%)
minecraft.mined.waxed_cut_copper_stairs: #2, 15(33%)
minecraft.picked_up.oxidized_cut_copper_stairs: #2, 139(16%)
minecraft.used.iron_helmet: #2, 2(14%)
minecraft.mined.bubble_coral_block: #2, 1382(12%)
minecraft.picked_up.large_amethyst_bud: #2, 133(11%)
minecraft.picked_up.light_blue_banner: #2, 3(25%)
minecraft.crafted.lime_banner: #2, 3(25%)
minecraft.crafted.green_banner: #2, 7(21%)
minecraft.picked_up.blackstone_slab: #2, 58(12%)
minecraft.picked_up.water_bucket: #3, 35(8%)
minecraft.mined.diorite: #3, 13360(8%)
minecraft.used.brown_shulker_box: #2, 78(11%)
minecraft.used.deepslate_brick_wall: #3, 283(15%)
minecraft.crafted.pink_shulker_box: #2, 2(13%)
minecraft.mined.purple_candle: #2, 3(30%)
minecraft.used.lapis_ore: #3, 85(13%)
minecraft.mined.brown_shulker_box: #2, 72(11%)
minecraft.picked_up.diamond_sword: #3, 48(8%)
minecraft.killed.dolphin: #2, 3(17%)
minecraft.used.black_shulker_box: #3, 116(18%)
minecraft.dropped.torch: #3, 489(9%)
minecraft.picked_up.black_shulker_box: #3, 110(18%)
minecraft.used.chorus_fruit: #2, 6(29%)
minecraft.dropped.lime_terracotta: #2, 2(29%)
minecraft.picked_up.stone_brick_wall: #3, 69(11%)
minecraft.mined.red_candle: #2, 5(23%)
minecraft.picked_up.brown_shulker_box: #2, 72(10%)
minecraft.killed_by.creeper: #3, 13(10%)
minecraft.picked_up.purple_carpet: #2, 9(22%)
minecraft.crafted.pink_banner: #2, 3(38%)
minecraft.used.deepslate_bricks: #4, 4985(13%)
minecraft.killed.husk: #3, 17(11%)
minecraft.dropped.red_bed: #2, 2(22%)
minecraft.mined.white_candle: #2, 10(37%)
minecraft.picked_up.light_blue_stained_glass: #2, 159(9%)
minecraft.used.calcite: #3, 1282(10%)
minecraft.picked_up.brown_mushroom: #3, 300(8%)
minecraft.crafted.light_blue_stained_glass: #3, 1152(16%)
minecraft.crafted.warped_pressure_plate: #2, 4(18%)
minecraft.crafted.orange_stained_glass_pane: #2, 16(18%)
minecraft.crafted.iron_nugget: #3, 7394(9%)
minecraft.used.diamond_shovel: #3, 98250(7%)
minecraft.dropped.red_stained_glass: #2, 5(36%)
minecraft.used.hanging_roots: #3, 72(16%)
minecraft.crafted.torch: #3, 10988(8%)
minecraft.mined.polished_deepslate_slab: #3, 276(10%)
minecraft.mined.cobweb: #3, 349(9%)
minecraft.custom.trigger_trapped_chest: #2, 12(35%)
