stat, rank, value, (percentage) 
minecraft.dropped.bone_block: #10, 5(0%)
minecraft.used.fishing_rod: #10, 2(0%)
minecraft.dropped.smooth_stone_slab: #10, 1(0%)
minecraft.picked_up.snow: #10, 49(0%)
minecraft.custom.use_cauldron: #10, 11(0%)
minecraft.mined.tube_coral_wall_fan: #10, 1(0%)
minecraft.crafted.copper_ingot: #11, 1562(3%)
minecraft.picked_up.magma_cream: #11, 112(3%)
minecraft.picked_up.glow_ink_sac: #11, 151(3%)
minecraft.picked_up.sticky_piston: #11, 52(3%)
minecraft.killed.husk: #11, 6(4%)
minecraft.custom.interact_with_grindstone: #11, 38(3%)
minecraft.picked_up.beef: #11, 440(3%)
minecraft.crafted.lapis_lazuli: #11, 351(3%)
minecraft.mined.lever: #11, 20(3%)
minecraft.used.sticky_piston: #11, 92(3%)
minecraft.picked_up.black_wool: #11, 64(4%)
minecraft.crafted.scaffolding: #11, 354(2%)
minecraft.picked_up.glow_item_frame: #11, 4(2%)
minecraft.used.cooked_mutton: #11, 8(3%)
minecraft.used.deepslate_tiles: #11, 703(2%)
minecraft.picked_up.dark_oak_boat: #11, 7(2%)
minecraft.crafted.diamond_chestplate: #11, 1(2%)
minecraft.picked_up.emerald: #11, 227(2%)
minecraft.dropped.shield: #11, 1(2%)
minecraft.picked_up.sweet_berries: #11, 62(2%)
minecraft.picked_up.written_book: #11, 3(2%)
minecraft.mined.ancient_debris: #11, 19(2%)
minecraft.picked_up.stone_sword: #11, 6(1%)
minecraft.crafted.cobbled_deepslate_stairs: #11, 12(2%)
minecraft.used.smoker: #11, 2(2%)
minecraft.dropped.rail: #11, 8(1%)
minecraft.killed.piglin: #11, 9(1%)
minecraft.mined.coarse_dirt: #11, 127(1%)
minecraft.crafted.smooth_stone: #11, 167(1%)
minecraft.mined.terracotta: #11, 1530(1%)
minecraft.mined.birch_trapdoor: #11, 4(1%)
minecraft.dropped.flint: #11, 25(1%)
minecraft.dropped.blackstone: #11, 64(1%)
minecraft.mined.twisting_vines_plant: #11, 8(1%)
minecraft.dropped.barrel: #11, 1(1%)
minecraft.crafted.soul_lantern: #11, 18(1%)
minecraft.crafted.red_bed: #11, 1(1%)
minecraft.picked_up.end_stone_bricks: #11, 7(1%)
minecraft.crafted.spruce_sign: #11, 21(1%)
minecraft.picked_up.cobbled_deepslate_wall: #11, 5(1%)
minecraft.used.magma_block: #11, 103(1%)
minecraft.picked_up.smoker: #11, 1(1%)
minecraft.picked_up.trident: #11, 1(1%)
minecraft.broken.stone_shovel: #11, 1(1%)
minecraft.used.deepslate_brick_slab: #11, 43(1%)
minecraft.mined.soul_soil: #11, 59(1%)
minecraft.picked_up.gray_stained_glass: #11, 5(0%)
minecraft.crafted.leather_leggings: #11, 1(1%)
minecraft.dropped.crossbow: #11, 1(0%)
minecraft.mined.smooth_quartz: #11, 2(0%)
minecraft.picked_up.totem_of_undying: #11, 1(1%)
minecraft.picked_up.black_shulker_box: #11, 3(0%)
minecraft.custom.interact_with_cartography_table: #11, 1(0%)
minecraft.dropped.quartz: #11, 8(0%)
minecraft.dropped.cobblestone_slab: #11, 6(0%)
minecraft.used.birch_trapdoor: #11, 6(0%)
minecraft.crafted.map: #11, 6(0%)
minecraft.picked_up.smooth_quartz: #11, 2(0%)
minecraft.crafted.smithing_table: #11, 1(0%)
minecraft.picked_up.nether_brick: #11, 5(0%)
minecraft.mined.horn_coral_wall_fan: #11, 1(0%)
